ID,Timestamp,Capacidad disponible,Capacidad utilizada,% Memoria utilizada
0,2025-03-01 19:55:05,2224536,4619784,67.4981
1,2025-03-01 19:55:08,2224704,4619792,67.4965
2,2025-03-01 19:55:12,2224224,4619792,67.5012
3,2025-03-01 19:55:15,2224200,4619800,67.5015
4,2025-03-01 19:55:18,2224200,4619800,67.5015
5,2025-03-01 19:55:21,2187748,4622324,67.8748
6,2025-03-01 19:55:24,2167152,4625884,68.0974
7,2025-03-01 19:55:27,2169720,4625924,68.0719
8,2025-03-01 19:55:30,2169492,4625924,68.0742
9,2025-03-01 19:55:33,2168132,4625924,68.0878
10,2025-03-01 19:55:36,2167400,4625996,68.0955
11,2025-03-01 19:55:39,2232636,4620080,67.4197
12,2025-03-01 19:55:42,2232608,4620080,67.4200
13,2025-03-01 19:55:45,2231768,4620080,67.4282
14,2025-03-01 19:55:48,2231444,4620088,67.4315
15,2025-03-01 19:55:51,2230996,4620088,67.4359
16,2025-03-01 19:55:54,2231320,4620096,67.4327
17,2025-03-01 19:55:57,2229900,4620096,67.4467
18,2025-03-01 19:56:00,2229960,4620104,67.4461
19,2025-03-01 19:56:03,2229796,4620104,67.4478
20,2025-03-01 19:56:06,2228816,4620112,67.4574
21,2025-03-01 19:56:09,2228540,4620112,67.4602
22,2025-03-01 19:56:12,2228184,4620120,67.4637
23,2025-03-01 19:56:15,2227476,4620120,67.4707
24,2025-03-01 19:56:18,2227456,4620120,67.4709
25,2025-03-01 19:56:21,2227100,4620128,67.4744
26,2025-03-01 19:56:24,2226620,4620128,67.4792
27,2025-03-01 19:56:28,2226508,4620136,67.4803
28,2025-03-01 19:56:31,2225268,4620144,67.4926
29,2025-03-01 19:56:34,2225032,4620144,67.4949
30,2025-03-01 19:56:37,2224404,4620144,67.5011
31,2025-03-01 19:56:40,2224100,4620152,67.5041
32,2025-03-01 19:56:43,2223848,4620152,67.5066
33,2025-03-01 19:56:46,2223836,4620152,67.5067
34,2025-03-01 19:56:49,2223584,4620160,67.5092
35,2025-03-01 19:56:52,2223788,4620160,67.5072
36,2025-03-01 19:56:55,2222588,4620168,67.5191
37,2025-03-01 19:56:58,2222312,4620168,67.5218
38,2025-03-01 19:57:01,2222480,4620176,67.5202
39,2025-03-01 19:57:04,2221752,4620176,67.5274
40,2025-03-01 19:57:07,2221480,4620176,67.5301
41,2025-03-01 19:57:10,2220456,4620184,67.5402
42,2025-03-01 19:57:13,2220600,4620184,67.5388
43,2025-03-01 19:57:16,2220764,4620192,67.5372
44,2025-03-01 19:57:19,2220604,4620192,67.5388
45,2025-03-01 19:57:22,2220328,4620200,67.5416
46,2025-03-01 19:57:25,2220096,4620200,67.5439
47,2025-03-01 19:57:28,2219876,4620208,67.5461
48,2025-03-01 19:57:31,2219896,4620208,67.5459
49,2025-03-01 19:57:34,2220360,4620216,67.5413
50,2025-03-01 19:57:37,2220544,4620224,67.5396
51,2025-03-01 19:57:41,2220268,4620224,67.5423
52,2025-03-01 19:57:44,2220292,4620224,67.5420
53,2025-03-01 19:57:47,2220772,4620232,67.5373
54,2025-03-01 19:57:50,2220996,4620232,67.5351
55,2025-03-01 19:57:53,2221532,4620240,67.5299
56,2025-03-01 19:57:56,2222036,4620240,67.5249
57,2025-03-01 19:57:59,2222312,4620240,67.5222
58,2025-03-01 19:58:02,2222104,4620240,67.5242
59,2025-03-01 19:58:05,2223072,4620248,67.5147
60,2025-03-01 19:58:08,2223392,4620256,67.5116
61,2025-03-01 19:58:11,2223700,4620264,67.5086
62,2025-03-01 19:58:14,2223748,4620264,67.5081
63,2025-03-01 19:58:17,2224080,4620264,67.5048
64,2025-03-01 19:58:20,2223600,4620272,67.5096
65,2025-03-01 19:58:23,2227764,4620272,67.4686
66,2025-03-01 19:58:26,2227692,4620280,67.4693
67,2025-03-01 19:58:29,2227420,4620280,67.4720
68,2025-03-01 19:58:32,2228176,4620288,67.4646
69,2025-03-01 19:58:35,2227968,4620288,67.4666
70,2025-03-01 19:58:38,2228684,4620296,67.4596
71,2025-03-01 19:58:41,2229164,4620304,67.4549
72,2025-03-01 19:58:44,2228708,4620304,67.4594
73,2025-03-01 19:58:47,2228736,4620312,67.4592
74,2025-03-01 19:58:50,2228712,4620312,67.4594
75,2025-03-01 19:58:54,2228484,4620312,67.4617
76,2025-03-01 19:58:57,2227724,4620320,67.4692
77,2025-03-01 19:59:00,2226952,4620328,67.4768
78,2025-03-01 19:59:03,2226828,4620328,67.4781
79,2025-03-01 19:59:06,2226620,4620328,67.4801
80,2025-03-01 19:59:09,2225688,4620336,67.4893
81,2025-03-01 19:59:12,2226108,4620336,67.4852
82,2025-03-01 19:59:15,2225856,4620336,67.4877
83,2025-03-01 19:59:18,2226336,4620344,67.4830
84,2025-03-01 19:59:21,2226408,4620344,67.4823
85,2025-03-01 19:59:24,2226156,4620344,67.4848
86,2025-03-01 19:59:27,2226684,4620356,67.4796
87,2025-03-01 19:59:30,2226960,4620364,67.4769
88,2025-03-01 19:59:33,2225952,4620364,67.4869
89,2025-03-01 19:59:36,2226560,4620372,67.4809
90,2025-03-01 19:59:39,2226332,4620372,67.4832
91,2025-03-01 19:59:42,2226088,4620380,67.4856
92,2025-03-01 19:59:45,2225844,4620380,67.4880
93,2025-03-01 19:59:48,2225684,4620388,67.4896
94,2025-03-01 19:59:51,2225432,4620388,67.4921
95,2025-03-01 19:59:54,2225916,4620396,67.4874
96,2025-03-01 19:59:57,2225180,4620396,67.4946
97,2025-03-01 20:00:00,2224356,4620404,67.5028
98,2025-03-01 20:00:03,2224788,4620412,67.4986
99,2025-03-01 20:00:06,2224516,4620412,67.5013
100,2025-03-01 20:00:10,2223576,4620420,67.5106
101,2025-03-01 20:00:13,2223476,4620420,67.5115
102,2025-03-01 20:00:16,2223276,4620420,67.5135
103,2025-03-01 20:00:19,2223024,4620428,67.5160
104,2025-03-01 20:00:22,2222248,4620428,67.5237
105,2025-03-01 20:00:25,2222252,4620436,67.5237
106,2025-03-01 20:00:28,2221772,4620444,67.5285
107,2025-03-01 20:00:31,2221012,4620456,67.5360
108,2025-03-01 20:00:34,2220308,4620456,67.5430
109,2025-03-01 20:00:37,2220308,4620464,67.5430
110,2025-03-01 20:00:40,2220284,4620464,67.5433
111,2025-03-01 20:00:43,2219812,4620472,67.5480
112,2025-03-01 20:00:46,2219740,4620480,67.5487
113,2025-03-01 20:00:49,2219812,4620480,67.5480
114,2025-03-01 20:00:52,2219816,4620484,67.5480
115,2025-03-01 20:00:55,2218860,4620484,67.5574
116,2025-03-01 20:00:58,2218960,4620492,67.5565
117,2025-03-01 20:01:01,2218936,4620492,67.5567
118,2025-03-01 20:01:04,2218872,4620500,67.5574
119,2025-03-01 20:01:07,2218896,4620500,67.5571
120,2025-03-01 20:01:10,2219152,4620508,67.5546
121,2025-03-01 20:01:13,2218652,4620508,67.5596
122,2025-03-01 20:01:17,2218780,4620516,67.5584
123,2025-03-01 20:01:20,2219288,4620544,67.5535
124,2025-03-01 20:01:23,2219040,4620552,67.5560
125,2025-03-01 20:01:26,2219044,4620552,67.5559
126,2025-03-01 20:01:29,2220256,4620556,67.5440
127,2025-03-01 20:01:32,2220284,4620556,67.5437
128,2025-03-01 20:01:35,2219808,4620564,67.5484
129,2025-03-01 20:01:38,2219652,4620564,67.5500
130,2025-03-01 20:01:41,2220204,4620572,67.5446
131,2025-03-01 20:01:44,2219928,4620572,67.5473
132,2025-03-01 20:01:47,2219704,4620572,67.5495
133,2025-03-01 20:01:50,2220212,4620580,67.5445
134,2025-03-01 20:01:53,2220060,4620588,67.5461
135,2025-03-01 20:01:56,2219652,4620588,67.5501
136,2025-03-01 20:01:59,2219200,4620596,67.5546
137,2025-03-01 20:02:02,2218952,4620596,67.5570
138,2025-03-01 20:02:05,2219120,4620604,67.5554
139,2025-03-01 20:02:08,2218896,4620604,67.5576
140,2025-03-01 20:02:11,2219100,4620612,67.5557
141,2025-03-01 20:02:14,2219052,4620612,67.5561
142,2025-03-01 20:02:17,2218708,4620620,67.5596
143,2025-03-01 20:02:20,2219264,4620620,67.5541
144,2025-03-01 20:02:23,2219264,4620628,67.5541
145,2025-03-01 20:02:27,2219556,4620628,67.5512
146,2025-03-01 20:02:30,2220132,4620628,67.5455
147,2025-03-01 20:02:33,2219404,4620636,67.5528
148,2025-03-01 20:02:36,2219776,4620636,67.5491
149,2025-03-01 20:02:39,2219736,4620644,67.5495
150,2025-03-01 20:02:42,2219964,4620644,67.5473
151,2025-03-01 20:02:45,2220228,4620644,67.5447
152,2025-03-01 20:02:48,2220504,4620652,67.5420
153,2025-03-01 20:02:51,2220256,4620652,67.5444
154,2025-03-01 20:02:54,2220736,4620652,67.5397
155,2025-03-01 20:02:57,2221248,4620660,67.5347
156,2025-03-01 20:03:00,2221820,4620668,67.5291
157,2025-03-01 20:03:03,2221880,4620668,67.5285
158,2025-03-01 20:03:06,2221768,4620676,67.5296
159,2025-03-01 20:03:09,2222256,4620676,67.5248
160,2025-03-01 20:03:12,2222508,4620676,67.5223
161,2025-03-01 20:03:15,2223220,4620684,67.5153
162,2025-03-01 20:03:18,2223300,4620692,67.5146
163,2025-03-01 20:03:21,2223600,4620692,67.5116
164,2025-03-01 20:03:24,2224060,4620700,67.5071
165,2025-03-01 20:03:27,2223836,4620700,67.5093
166,2025-03-01 20:03:30,2224064,4620708,67.5071
167,2025-03-01 20:03:33,2223632,4620708,67.5114
168,2025-03-01 20:03:36,2223812,4620708,67.5096
169,2025-03-01 20:03:39,2223152,4620716,67.5161
170,2025-03-01 20:03:42,2223640,4620724,67.5114
171,2025-03-01 20:03:46,2223364,4620724,67.5141
172,2025-03-01 20:03:49,2222808,4620728,67.5196
173,2025-03-01 20:03:52,2222932,4620736,67.5184
174,2025-03-01 20:03:55,2222404,4620736,67.5236
175,2025-03-01 20:03:58,2222656,4620744,67.5212
176,2025-03-01 20:04:01,2221672,4620744,67.5309
177,2025-03-01 20:04:04,2222624,4620744,67.5215
178,2025-03-01 20:04:07,2222648,4620752,67.5213
179,2025-03-01 20:04:10,2222944,4620752,67.5184
180,2025-03-01 20:04:13,2222376,4620760,67.5240
181,2025-03-01 20:04:16,2222124,4620760,67.5265
182,2025-03-01 20:04:19,2222520,4620768,67.5226
183,2025-03-01 20:04:22,2223020,4620768,67.5177
184,2025-03-01 20:04:25,2222292,4620776,67.5249
185,2025-03-01 20:04:28,2222804,4620776,67.5199
186,2025-03-01 20:04:31,2222696,4620784,67.5210
187,2025-03-01 20:04:34,2222576,4620784,67.5222
188,2025-03-01 20:04:37,2222020,4620792,67.5277
189,2025-03-01 20:04:40,2221612,4620792,67.5317
190,2025-03-01 20:04:43,2221648,4620800,67.5314
191,2025-03-01 20:04:46,2221876,4620800,67.5291
192,2025-03-01 20:04:49,2221424,4620808,67.5336
193,2025-03-01 20:04:52,2221156,4620808,67.5363
194,2025-03-01 20:04:55,2221552,4620816,67.5324
195,2025-03-01 20:04:58,2221888,4620816,67.5291
196,2025-03-01 20:05:02,2222300,4620824,67.5251
197,2025-03-01 20:05:05,2221664,4620824,67.5313
198,2025-03-01 20:05:08,2221056,4620836,67.5374
199,2025-03-01 20:05:11,2221308,4620836,67.5349
200,2025-03-01 20:05:14,2220852,4620844,67.5395
201,2025-03-01 20:05:17,2221320,4620844,67.5348
202,2025-03-01 20:05:20,2221552,4620844,67.5325
203,2025-03-01 20:05:23,2221576,4620852,67.5323
204,2025-03-01 20:05:26,2221964,4620852,67.5285
205,2025-03-01 20:05:29,2222324,4620860,67.5250
206,2025-03-01 20:05:32,2222100,4620868,67.5272
207,2025-03-01 20:05:35,2222432,4620868,67.5240
208,2025-03-01 20:05:38,2222684,4620876,67.5215
209,2025-03-01 20:05:41,2222544,4620876,67.5229
210,2025-03-01 20:05:44,2222052,4620884,67.5278
211,2025-03-01 20:05:47,2222076,4620884,67.5276
212,2025-03-01 20:05:50,2222484,4620892,67.5236
213,2025-03-01 20:05:53,2222008,4620892,67.5283
214,2025-03-01 20:05:56,2221612,4620900,67.5322
215,2025-03-01 20:05:59,2222112,4620900,67.5273
216,2025-03-01 20:06:02,2221232,4620908,67.5360
217,2025-03-01 20:06:05,2220704,4620908,67.5412
218,2025-03-01 20:06:08,2221100,4620916,67.5373
219,2025-03-01 20:06:11,2220356,4620916,67.5447
220,2025-03-01 20:06:15,2220432,4620924,67.5440
221,2025-03-01 20:06:18,2221044,4620940,67.5380
222,2025-03-01 20:06:21,2220820,4620940,67.5402
223,2025-03-01 20:06:24,2220192,4620888,67.5462
224,2025-03-01 20:06:27,2219940,4620896,67.5487
225,2025-03-01 20:06:30,2219412,4620904,67.5540
226,2025-03-01 20:06:33,2219648,4620904,67.5516
227,2025-03-01 20:06:36,2218688,4620912,67.5611
228,2025-03-01 20:06:39,2218916,4620912,67.5589
229,2025-03-01 20:06:42,2219192,4620912,67.5562
230,2025-03-01 20:06:45,2218980,4620920,67.5583
231,2025-03-01 20:06:48,2218436,4620928,67.5637
232,2025-03-01 20:06:51,2219100,4620928,67.5572
233,2025-03-01 20:06:54,2218956,4620936,67.5586
234,2025-03-01 20:06:57,2218800,4620936,67.5602
235,2025-03-01 20:07:00,2218804,4620948,67.5602
236,2025-03-01 20:07:03,2219080,4620948,67.5574
237,2025-03-01 20:07:06,2218228,4620956,67.5659
238,2025-03-01 20:07:09,2218664,4620956,67.5616
239,2025-03-01 20:07:12,2218436,4620964,67.5639
240,2025-03-01 20:07:15,2218216,4620964,67.5661
241,2025-03-01 20:07:18,2217464,4620972,67.5735
242,2025-03-01 20:07:21,2218452,4620972,67.5638
243,2025-03-01 20:07:24,2218104,4620980,67.5672
244,2025-03-01 20:07:27,2217096,4620980,67.5772
245,2025-03-01 20:07:31,2217704,4620988,67.5712
246,2025-03-01 20:07:34,2218136,4620988,67.5670
247,2025-03-01 20:07:37,2217064,4620996,67.5776
248,2025-03-01 20:07:40,2217220,4620996,67.5760
249,2025-03-01 20:07:43,2217712,4620996,67.5712
250,2025-03-01 20:07:46,2217716,4621004,67.5712
251,2025-03-01 20:07:49,2217736,4621004,67.5710
252,2025-03-01 20:07:52,2218112,4621012,67.5673
253,2025-03-01 20:07:55,2217636,4621012,67.5720
254,2025-03-01 20:07:58,2217800,4621020,67.5704
255,2025-03-01 20:08:01,2218280,4621020,67.5657
256,2025-03-01 20:08:04,2218304,4621028,67.5655
257,2025-03-01 20:08:07,2218556,4621032,67.5630
258,2025-03-01 20:08:10,2219500,4621040,67.5537
259,2025-03-01 20:08:13,2219428,4621040,67.5544
260,2025-03-01 20:08:16,2219968,4621048,67.5491
261,2025-03-01 20:08:19,2221500,4625308,67.5542
262,2025-03-01 20:08:22,2219788,4625428,67.5717
263,2025-03-01 20:08:25,2219608,4625440,67.5735
264,2025-03-01 20:08:28,2219532,4625440,67.5743
265,2025-03-01 20:08:31,2219884,4625448,67.5708
266,2025-03-01 20:08:34,2219832,4625448,67.5713
267,2025-03-01 20:08:37,2218960,4625456,67.5800
268,2025-03-01 20:08:40,2219204,4625456,67.5776
269,2025-03-01 20:08:43,2218448,4625464,67.5851
270,2025-03-01 20:08:47,2218716,4625464,67.5824
271,2025-03-01 20:08:50,2218424,4625472,67.5854
272,2025-03-01 20:08:53,2217976,4625472,67.5898
273,2025-03-01 20:08:56,2217784,4625480,67.5917
274,2025-03-01 20:08:59,2217556,4625480,67.5940
275,2025-03-01 20:09:02,2217280,4625480,67.5967
276,2025-03-01 20:09:05,2217440,4625488,67.5952
277,2025-03-01 20:09:08,2217464,4625488,67.5949
278,2025-03-01 20:09:11,2217528,4625496,67.5943
279,2025-03-01 20:09:14,2217024,4625496,67.5993
280,2025-03-01 20:09:17,2217292,4625504,67.5967
281,2025-03-01 20:09:20,2218240,4625504,67.5873
282,2025-03-01 20:09:23,2217788,4625504,67.5918
283,2025-03-01 20:09:26,2218300,4625512,67.5868
284,2025-03-01 20:09:29,2218428,4625520,67.5856
285,2025-03-01 20:09:32,2219072,4625520,67.5792
286,2025-03-01 20:09:35,2218852,4625520,67.5814
287,2025-03-01 20:09:38,2219312,4625528,67.5769
288,2025-03-01 20:09:41,2219816,4625528,67.5719
289,2025-03-01 20:09:44,2219888,4625536,67.5712
290,2025-03-01 20:09:47,2219892,4625536,67.5712
291,2025-03-01 20:09:50,2219356,4625544,67.5765
292,2025-03-01 20:09:53,2219328,4625544,67.5768
293,2025-03-01 20:09:56,2219296,4625556,67.5772
294,2025-03-01 20:09:59,2219556,4625556,67.5746
295,2025-03-01 20:10:02,2219808,4625564,67.5721
296,2025-03-01 20:10:06,2220036,4625564,67.5699
297,2025-03-01 20:10:09,2220196,4625572,67.5683
298,2025-03-01 20:10:12,2220028,4625572,67.5700
299,2025-03-01 20:10:15,2220560,4625580,67.5648
300,2025-03-01 20:10:18,2220844,4625580,67.5620
301,2025-03-01 20:10:21,2219928,4625580,67.5710
302,2025-03-01 20:10:24,2220276,4625588,67.5676
303,2025-03-01 20:10:27,2219692,4625588,67.5734
304,2025-03-01 20:10:30,2219812,4625600,67.5723
305,2025-03-01 20:10:33,2219176,4625600,67.5785
306,2025-03-01 20:10:36,2219548,4625608,67.5749
307,2025-03-01 20:10:39,2219524,4625608,67.5751
308,2025-03-01 20:10:42,2219264,4625616,67.5778
309,2025-03-01 20:10:45,2219036,4625616,67.5800
310,2025-03-01 20:10:48,2218788,4625616,67.5825
311,2025-03-01 20:10:51,2218516,4625624,67.5852
312,2025-03-01 20:10:54,2218296,4625632,67.5874
313,2025-03-01 20:10:57,2218248,4625632,67.5879
314,2025-03-01 20:11:00,2218272,4625636,67.5876
315,2025-03-01 20:11:03,2217520,4625636,67.5951
316,2025-03-01 20:11:06,2217292,4625644,67.5974
317,2025-03-01 20:11:09,2217384,4625644,67.5964
318,2025-03-01 20:11:12,2218044,4625652,67.5900
319,2025-03-01 20:11:16,2217088,4625652,67.5994
320,2025-03-01 20:11:19,2217068,4625660,67.5996
321,2025-03-01 20:11:22,2217536,4625660,67.5950
322,2025-03-01 20:11:25,2216660,4625660,67.6037
323,2025-03-01 20:11:28,2217396,4625668,67.5964
324,2025-03-01 20:11:31,2217216,4625668,67.5982
325,2025-03-01 20:11:34,2217488,4625668,67.5955
326,2025-03-01 20:11:37,2217452,4625676,67.5959
327,2025-03-01 20:11:40,2217704,4625684,67.5935
328,2025-03-01 20:11:43,2217392,4625684,67.5966
329,2025-03-01 20:11:46,2217564,4625684,67.5949
330,2025-03-01 20:11:49,2218128,4625692,67.5893
331,2025-03-01 20:11:52,2218720,4625700,67.5835
332,2025-03-01 20:11:55,2219088,4625700,67.5799
333,2025-03-01 20:11:58,2219940,4625708,67.5715
334,2025-03-01 20:12:01,2219972,4625708,67.5712
335,2025-03-01 20:12:04,2220244,4625708,67.5685
