ID,Timestamp,%CPU (global),Capacidad de memoria utilizada,% Memoria utilizada
0,2025-03-01 23:02:58,3,4280400,29.5135
1,2025-03-01 23:03:03,3,4280272,29.5108
2,2025-03-01 23:03:08,6.1,4280288,29.5098
3,2025-03-01 23:03:14,2,4280288,29.5071
4,2025-03-01 23:03:19,3.1,4280296,29.5065
5,2025-03-01 23:03:24,2,4280296,29.5100
6,2025-03-01 23:03:29,2,4280304,29.5111
7,2025-03-01 23:03:35,2,4280304,29.5111
8,2025-03-01 23:03:40,3.1,4280312,29.5119
9,2025-03-01 23:03:45,2.1,4280312,29.5137
10,2025-03-01 23:03:51,1,4280320,29.5174
11,2025-03-01 23:03:56,2.1,4280320,29.5180
12,2025-03-01 23:04:01,1,4280328,29.5217
13,2025-03-01 23:04:06,2,4280328,29.5204
14,2025-03-01 23:04:12,3,4280336,29.5223
15,2025-03-01 23:04:17,3,4280336,29.5171
16,2025-03-01 23:04:22,2,4280344,29.5179
17,2025-03-01 23:04:28,3,4280352,29.5179
18,2025-03-01 23:04:33,2,4280352,29.5189
19,2025-03-01 23:04:38,2,4280360,29.5205
20,2025-03-01 23:04:44,3,4280360,29.5182
21,2025-03-01 23:04:49,2,4280368,29.5276
22,2025-03-01 23:04:54,3.1,4280376,29.5214
23,2025-03-01 23:04:59,3,4280120,29.5206
24,2025-03-01 23:05:05,3.1,4280400,29.5220
25,2025-03-01 23:05:10,3,4280408,29.5226
26,2025-03-01 23:05:15,3,4280416,29.5276
27,2025-03-01 23:05:21,3.1,4280416,29.5235
28,2025-03-01 23:05:26,3,4280424,29.5230
29,2025-03-01 23:05:31,2,4280424,29.5224
30,2025-03-01 23:05:36,3.1,4280432,29.5224
31,2025-03-01 23:05:42,2,4280432,29.5241
32,2025-03-01 23:05:47,3,4280440,29.5232
33,2025-03-01 23:05:52,3,4280440,29.5227
34,2025-03-01 23:05:58,3,4280448,29.5229
35,2025-03-01 23:06:03,2.1,4280512,29.5227
36,2025-03-01 23:06:08,2,4280520,29.5208
37,2025-03-01 23:06:13,2,4280520,29.5203
38,2025-03-01 23:06:19,2,4280528,29.5240
39,2025-03-01 23:06:24,2,4280528,29.5209
40,2025-03-01 23:06:29,2.2,4280536,29.5208
41,2025-03-01 23:06:35,2.1,4280536,29.5188
42,2025-03-01 23:06:40,3,4280544,29.5200
43,2025-03-01 23:06:45,3.1,4280552,29.5213
44,2025-03-01 23:06:50,1,4280552,29.5193
45,2025-03-01 23:06:56,2.1,4280624,29.5202
46,2025-03-01 23:07:01,2,4280632,29.5191
47,2025-03-01 23:07:06,1.1,4280568,29.5178
48,2025-03-01 23:07:12,3,4280512,29.5153
49,2025-03-01 23:07:17,3.1,4280512,29.5149
50,2025-03-01 23:07:22,3,4280520,29.5165
51,2025-03-01 23:07:27,1.1,4280584,29.5173
52,2025-03-01 23:07:33,3,4280528,29.5176
53,2025-03-01 23:07:38,2,4280528,29.5181
54,2025-03-01 23:07:43,3,4280536,29.5176
55,2025-03-01 23:07:49,3,4280536,29.5176
56,2025-03-01 23:07:54,3,4280544,29.5164
57,2025-03-01 23:07:59,3,4280544,29.5154
58,2025-03-01 23:08:05,2,4280552,29.5154
59,2025-03-01 23:08:10,2,4280552,29.5156
60,2025-03-01 23:08:15,2,4280560,29.5157
61,2025-03-01 23:08:20,3.1,4280560,29.5187
62,2025-03-01 23:08:26,3,4280568,29.5164
63,2025-03-01 23:08:31,2,4280564,29.5199
64,2025-03-01 23:08:36,3,4280572,29.5215
65,2025-03-01 23:08:42,1,4280572,29.5223
66,2025-03-01 23:08:47,3,4280580,29.5223
67,2025-03-01 23:08:52,3.1,4280584,29.5228
68,2025-03-01 23:08:57,1,4280588,29.5239
69,2025-03-01 23:09:03,3.1,4280660,29.5241
70,2025-03-01 23:09:08,3.1,4280604,29.5231
71,2025-03-01 23:09:13,2,4280604,29.5234
72,2025-03-01 23:09:19,2,4280612,29.5272
73,2025-03-01 23:09:24,2,4280612,29.5267
74,2025-03-01 23:09:29,2.1,4280620,29.5262
75,2025-03-01 23:09:34,1,4280620,29.5251
76,2025-03-01 23:09:40,2.1,4280628,29.5236
77,2025-03-01 23:09:45,2,4280628,29.5240
78,2025-03-01 23:09:50,1.1,4280636,29.5256
79,2025-03-01 23:09:56,2,4280644,29.5274
80,2025-03-01 23:10:01,2.1,4280652,29.5262
81,2025-03-01 23:10:06,2,4280652,29.5256
82,2025-03-01 23:10:11,2,4280672,29.5217
83,2025-03-01 23:10:17,1.1,4280680,29.5202
84,2025-03-01 23:10:22,3,4280688,29.5187
85,2025-03-01 23:10:27,2.1,4280688,29.5182
86,2025-03-01 23:10:33,3.1,4280696,29.5219
87,2025-03-01 23:10:38,1.1,4282752,29.5343
88,2025-03-01 23:10:43,1.1,4280704,29.5187
89,2025-03-01 23:10:49,2,4280712,29.5170
90,2025-03-01 23:10:54,2.1,4280720,29.5162
91,2025-03-01 23:10:59,2,4280724,29.5164
92,2025-03-01 23:11:04,1.1,4280728,29.5211
93,2025-03-01 23:11:10,3,4280736,29.5167
94,2025-03-01 23:11:15,3,4280736,29.5183
95,2025-03-01 23:11:20,2.1,4280744,29.5195
96,2025-03-01 23:11:26,2,4280752,29.5221
97,2025-03-01 23:11:31,3,4280756,29.5194
98,2025-03-01 23:11:36,2,4280764,29.5189
99,2025-03-01 23:11:41,3,4280764,29.5235
100,2025-03-01 23:11:47,3,4280772,29.5205
101,2025-03-01 23:11:52,3.1,4280772,29.5237
102,2025-03-01 23:11:57,3,4280780,29.5237
103,2025-03-01 23:12:03,2.1,4280780,29.5232
104,2025-03-01 23:12:08,2.1,4280788,29.5230
105,2025-03-01 23:12:13,3,4280788,29.5236
106,2025-03-01 23:12:18,1.1,4280796,29.5225
107,2025-03-01 23:12:24,3,4280796,29.5225
108,2025-03-01 23:12:29,3.1,4280804,29.5302
109,2025-03-01 23:12:34,1.1,4280812,29.5243
110,2025-03-01 23:12:40,2.1,4280812,29.5242
111,2025-03-01 23:12:45,2,4280820,29.5252
112,2025-03-01 23:12:50,3,4280820,29.5251
113,2025-03-01 23:12:55,3.1,4280828,29.5262
114,2025-03-01 23:13:01,3.1,4280892,29.5246
115,2025-03-01 23:13:06,2,4280900,29.5252
116,2025-03-01 23:13:11,2,4280900,29.5280
117,2025-03-01 23:13:17,2,4280908,29.5254
118,2025-03-01 23:13:22,3,4280908,29.5279
119,2025-03-01 23:13:27,3,4280916,29.5246
120,2025-03-01 23:13:32,2,4280916,29.5220
121,2025-03-01 23:13:38,3,4280924,29.5231
122,2025-03-01 23:13:43,3,4280924,29.5236
123,2025-03-01 23:13:48,1.1,4280932,29.5247
124,2025-03-01 23:13:54,2.1,4280932,29.5226
125,2025-03-01 23:13:59,3,4280940,29.5219
126,2025-03-01 23:14:04,2,4280940,29.5213
127,2025-03-01 23:14:09,2.1,4280884,29.5205
128,2025-03-01 23:14:15,2.2,4280884,29.5236
129,2025-03-01 23:14:20,3.1,4280956,29.5216
130,2025-03-01 23:14:25,2.1,4280956,29.5214
131,2025-03-01 23:14:31,2,4280900,29.5258
132,2025-03-01 23:14:36,2,4280900,29.5252
133,2025-03-01 23:14:41,2,4280908,29.5235
134,2025-03-01 23:14:46,2,4280908,29.5233
135,2025-03-01 23:14:52,2,4280916,29.5221
136,2025-03-01 23:14:57,3,4280924,29.5220
137,2025-03-01 23:15:02,2.2,4280928,29.5222
138,2025-03-01 23:15:08,3,4280944,29.5216
139,2025-03-01 23:15:13,1,4280944,29.5210
140,2025-03-01 23:15:18,3,4280952,29.5215
141,2025-03-01 23:15:23,2,4280952,29.5225
142,2025-03-01 23:15:29,2,4280960,29.5221
143,2025-03-01 23:15:34,2,4280964,29.5247
144,2025-03-01 23:15:39,3,4280968,29.5213
145,2025-03-01 23:15:45,3.1,4280976,29.5208
146,2025-03-01 23:15:50,3,4280976,29.5219
147,2025-03-01 23:15:55,3.1,4280984,29.5250
148,2025-03-01 23:16:00,3.1,4280984,29.5232
149,2025-03-01 23:16:06,2,4280992,29.5263
150,2025-03-01 23:16:11,1.1,4280992,29.5221
151,2025-03-01 23:16:16,3,4281000,29.5255
152,2025-03-01 23:16:22,3,4281000,29.5218
153,2025-03-01 23:16:27,3,4281008,29.5217
154,2025-03-01 23:16:32,3,4281008,29.5222
155,2025-03-01 23:16:37,3,4281016,29.5207
156,2025-03-01 23:16:43,3,4281016,29.5205
157,2025-03-01 23:16:48,2,4281024,29.5211
158,2025-03-01 23:16:53,2,4281024,29.5215
159,2025-03-01 23:16:59,2,4281032,29.5242
160,2025-03-01 23:17:04,3,4281040,29.5266
161,2025-03-01 23:17:09,2.1,4281048,29.5248
162,2025-03-01 23:17:15,3,4281056,29.5268
163,2025-03-01 23:17:20,2,4281056,29.5300
164,2025-03-01 23:17:25,2,4281064,29.5290
165,2025-03-01 23:17:30,3.1,4281064,29.5287
166,2025-03-01 23:17:36,1.1,4281072,29.5287
167,2025-03-01 23:17:41,1.1,4281080,29.5296
168,2025-03-01 23:17:46,2.1,4281080,29.5316
169,2025-03-01 23:17:52,2,4281088,29.5326
170,2025-03-01 23:17:57,2,4281088,29.5334
