ID,Timestamp,Capacidad disponible,Capacidad utilizada,% Memoria utilizada
0,2025-03-01 20:01:20,5410048,4912508,47.5900
1,2025-03-01 20:01:23,5435076,4887352,47.3469
2,2025-03-01 20:01:26,5417316,4901796,47.5021
3,2025-03-01 20:01:29,5441108,4891300,47.3394
4,2025-03-01 20:01:32,5434304,4891360,47.3709
5,2025-03-01 20:01:35,5388592,4924920,47.7521
6,2025-03-01 20:01:38,5411988,4896304,47.4987
7,2025-03-01 20:01:41,5420272,4882516,47.3902
8,2025-03-01 20:01:44,5416176,4885732,47.4255
9,2025-03-01 20:01:47,5428132,4883212,47.3577
10,2025-03-01 20:01:50,5400728,4897980,47.5592
11,2025-03-01 20:01:53,5381648,4900424,47.6599
12,2025-03-01 20:01:56,5378680,4896204,47.6522
13,2025-03-01 20:01:59,5341020,4910460,47.9000
14,2025-03-01 20:02:02,5406056,4881960,47.4529
15,2025-03-01 20:02:05,5417228,4896040,47.4732
16,2025-03-01 20:02:08,5393172,4911176,47.6612
17,2025-03-01 20:02:11,5437648,4882296,47.3093
18,2025-03-01 20:02:15,5433660,4882104,47.3266
19,2025-03-01 20:02:18,5432188,4882192,47.3338
20,2025-03-01 20:02:21,5431512,4881100,47.3314
21,2025-03-01 20:02:24,5410480,4896072,47.5045
22,2025-03-01 20:02:27,5394540,4910360,47.6507
23,2025-03-01 20:02:30,5390776,4892044,47.5749
24,2025-03-01 20:02:33,5362748,4892504,47.7073
25,2025-03-01 20:02:36,5359484,4906304,47.7928
26,2025-03-01 20:02:39,5347884,4906196,47.8463
27,2025-03-01 20:02:42,5352112,4891656,47.7525
28,2025-03-01 20:02:45,5357388,4891892,47.7291
29,2025-03-01 20:02:48,5302504,4939572,48.2282
30,2025-03-01 20:02:51,5352240,4874672,47.6651
31,2025-03-01 20:02:54,5348892,4869832,47.6560
32,2025-03-01 20:02:57,5263496,4876952,48.0940
33,2025-03-01 20:03:00,5329640,4847876,47.6332
34,2025-03-01 20:03:03,5256980,4914296,48.3154
35,2025-03-01 20:03:06,5398040,4883812,47.4993
36,2025-03-01 20:03:09,5451720,4867476,47.1691
37,2025-03-01 20:03:12,5475260,4853176,46.9885
38,2025-03-01 20:03:15,5463536,4867524,47.1154
39,2025-03-01 20:03:18,5464460,4853324,47.0384
40,2025-03-01 20:03:21,5474340,4853260,46.9931
41,2025-03-01 20:03:24,5477996,4853388,46.9771
42,2025-03-01 20:03:27,5480308,4853436,46.9669
43,2025-03-01 20:03:30,5489760,4853372,46.9236
44,2025-03-01 20:03:34,5487020,4853212,46.9352
45,2025-03-01 20:03:37,5505744,4867480,46.9235
46,2025-03-01 20:03:40,5490548,4853244,46.9194
47,2025-03-01 20:03:43,5492404,4853356,46.9115
48,2025-03-01 20:03:46,5496132,4853324,46.8945
49,2025-03-01 20:03:49,5506608,4853332,46.8471
50,2025-03-01 20:03:52,5488600,4868076,47.0042
51,2025-03-01 20:03:55,5473628,4853732,46.9988
52,2025-03-01 20:03:58,5475572,4853724,46.9899
53,2025-03-01 20:04:01,5476436,4853596,46.9853
54,2025-03-01 20:04:04,5475176,4853500,46.9905
55,2025-03-01 20:04:07,5460940,4882300,47.2028
56,2025-03-01 20:04:10,5452772,4868140,47.1677
57,2025-03-01 20:04:13,5446404,4896480,47.3415
58,2025-03-01 20:04:16,5461908,4868016,47.1254
59,2025-03-01 20:04:19,5474008,4867908,47.0697
60,2025-03-01 20:04:22,5437704,4896656,47.3823
61,2025-03-01 20:04:25,5446988,4882408,47.2671
62,2025-03-01 20:04:28,5466740,4868180,47.1042
63,2025-03-01 20:04:31,5468684,4868116,47.0950
64,2025-03-01 20:04:34,5466884,4868108,47.1032
65,2025-03-01 20:04:37,5452408,4867980,47.1686
66,2025-03-01 20:04:40,5458972,4853684,47.0653
67,2025-03-01 20:04:43,5463236,4853836,47.0466
68,2025-03-01 20:04:47,5467336,4853724,47.0274
69,2025-03-01 20:04:50,5467256,4853792,47.0281
70,2025-03-01 20:04:53,5462172,4853728,47.0509
71,2025-03-01 20:04:56,5467204,4853824,47.0285
72,2025-03-01 20:04:59,5467708,4854896,47.0317
73,2025-03-01 20:05:02,5469912,4854704,47.0207
74,2025-03-01 20:05:05,5418216,4897676,47.4770
75,2025-03-01 20:05:08,5440472,4869112,47.2290
76,2025-03-01 20:05:11,5397324,4901180,47.5912
77,2025-03-01 20:05:14,5429676,4872400,47.2953
78,2025-03-01 20:05:17,5428124,4886928,47.3767
79,2025-03-01 20:05:20,5448352,4872384,47.2097
80,2025-03-01 20:05:23,5463116,4858120,47.0692
81,2025-03-01 20:05:26,5466860,4858072,47.0519
82,2025-03-01 20:05:29,5456256,4858096,47.1004
83,2025-03-01 20:05:32,5418980,4872524,47.3451
84,2025-03-01 20:05:35,5387048,4901236,47.6390
85,2025-03-01 20:05:38,5386560,4872556,47.4949
86,2025-03-01 20:05:41,5398400,4872600,47.4404
87,2025-03-01 20:05:44,5348492,4872724,47.6726
88,2025-03-01 20:05:47,5366780,4872640,47.5871
89,2025-03-01 20:05:50,5374020,4901472,47.7006
90,2025-03-01 20:05:53,5413880,4872656,47.3693
91,2025-03-01 20:05:57,5440572,4858368,47.1735
92,2025-03-01 20:06:00,5454368,4858416,47.1106
93,2025-03-01 20:06:03,5442356,4858380,47.1654
94,2025-03-01 20:06:06,5392500,4901716,47.6162
95,2025-03-01 20:06:09,5427704,4887292,47.3805
96,2025-03-01 20:06:12,5411292,4873044,47.3832
97,2025-03-01 20:06:15,5407220,4873084,47.4021
98,2025-03-01 20:06:18,5396016,4873128,47.4541
99,2025-03-01 20:06:21,5418832,4858752,47.2752
100,2025-03-01 20:06:24,5416360,4858904,47.2874
101,2025-03-01 20:06:27,5417360,4858912,47.2828
102,2025-03-01 20:06:30,5424412,4858936,47.2505
103,2025-03-01 20:06:33,5422780,4858808,47.2574
104,2025-03-01 20:06:36,5388920,4887620,47.5609
105,2025-03-01 20:06:39,5396756,4873176,47.4509
106,2025-03-01 20:06:42,5410840,4859024,47.3134
107,2025-03-01 20:06:45,5410460,4858880,47.3144
108,2025-03-01 20:06:48,5425096,4859008,47.2478
109,2025-03-01 20:06:51,5425276,4858952,47.2466
110,2025-03-01 20:06:54,5425240,4858952,47.2468
111,2025-03-01 20:06:57,5431080,4861072,47.2309
112,2025-03-01 20:07:00,5419352,4861080,47.2848
113,2025-03-01 20:07:04,5417360,4861016,47.2936
114,2025-03-01 20:07:07,5396268,4875552,47.4653
115,2025-03-01 20:07:10,5395752,4861224,47.3943
116,2025-03-01 20:07:13,5390132,4861192,47.4201
117,2025-03-01 20:07:16,5389032,4861280,47.4257
118,2025-03-01 20:07:19,5394064,4861280,47.4024
119,2025-03-01 20:07:22,5435944,4861352,47.2100
120,2025-03-01 20:07:25,5432484,4861336,47.2258
121,2025-03-01 20:07:28,5443940,4861320,47.1732
122,2025-03-01 20:07:31,5442556,4861280,47.1793
123,2025-03-01 20:07:34,5442788,4861280,47.1783
124,2025-03-01 20:07:37,5429840,4875624,47.3111
125,2025-03-01 20:07:40,5439916,4861248,47.1912
126,2025-03-01 20:07:43,5466060,4861276,47.0719
127,2025-03-01 20:07:46,5420776,4861304,47.2794
128,2025-03-01 20:07:49,5429956,4861368,47.2375
129,2025-03-01 20:07:52,5438196,4861440,47.2001
130,2025-03-01 20:07:55,5437692,4861440,47.2024
131,2025-03-01 20:07:58,5434944,4861448,47.2151
132,2025-03-01 20:08:01,5428976,4861432,47.2424
133,2025-03-01 20:08:04,5433948,4861312,47.2189
134,2025-03-01 20:08:07,5410740,4875880,47.4002
135,2025-03-01 20:08:11,5415796,4861424,47.3029
136,2025-03-01 20:08:14,5411132,4861528,47.3249
137,2025-03-01 20:08:17,5406620,4861552,47.3458
138,2025-03-01 20:08:20,5389508,4875916,47.4984
139,2025-03-01 20:08:23,5413172,4875984,47.3895
140,2025-03-01 20:08:26,5414028,4875996,47.3857
