ID,Timestamp,%CPU (global),Capacidad de memoria utilizada,% Memoria utilizada
0,2025-03-09 22:19:55,16.1,11702340,96.4582
1,2025-03-09 22:20:00,26.1,11728652,96.3331
2,2025-03-09 22:20:05,15.5,11703004,96.5164
3,2025-03-09 22:20:11,32.7,11702996,96.3526
4,2025-03-09 22:20:16,47.1,11703116,96.3275
5,2025-03-09 22:20:21,23.2,11707276,96.4089
6,2025-03-09 22:20:27,29.7,11722176,96.6648
7,2025-03-09 22:20:32,13.4,11672400,95.7104
8,2025-03-09 22:20:37,21.4,11678884,95.4105
9,2025-03-09 22:20:42,25,11662084,95.2909
10,2025-03-09 22:20:48,9.6,11662452,94.7214
11,2025-03-09 22:20:53,22.7,11674136,94.7477
12,2025-03-09 22:20:58,25.8,11658692,94.8354
13,2025-03-09 22:21:03,14.6,11672996,94.9302
14,2025-03-09 22:21:09,9.5,11680636,94.8730
15,2025-03-09 22:21:14,20.5,11662620,95.1454
16,2025-03-09 22:21:19,34.8,11701988,95.4142
17,2025-03-09 22:21:24,36.9,11755232,97.1690
18,2025-03-09 22:21:30,27.4,11536316,96.9583
19,2025-03-09 22:21:35,26.7,11618704,96.8062
20,2025-03-09 22:21:40,20.8,11587192,95.4028
21,2025-03-09 22:21:45,29.9,11587252,95.1158
22,2025-03-09 22:21:51,14.1,11579416,94.9320
23,2025-03-09 22:21:56,29.8,11581708,94.9649
24,2025-03-09 22:22:01,15.8,11580228,94.8689
25,2025-03-09 22:22:06,18.4,11580248,94.8226
26,2025-03-09 22:22:12,21.6,11580272,94.8151
27,2025-03-09 22:22:17,39.3,11580312,94.7062
28,2025-03-09 22:22:22,15.7,11579084,94.7268
29,2025-03-09 22:22:27,26.5,11579340,94.7854
30,2025-03-09 22:22:33,36.1,11578388,94.7996
31,2025-03-09 22:22:38,41.1,11636868,95.7403
32,2025-03-09 22:22:43,19,11571496,95.0961
33,2025-03-09 22:22:49,27.9,11571468,95.0987
34,2025-03-09 22:22:54,38.9,11571416,94.8609
35,2025-03-09 22:22:59,45,11566688,94.7388
36,2025-03-09 22:23:04,20.7,11567132,94.6730
37,2025-03-09 22:23:10,40,11567152,94.5060
38,2025-03-09 22:23:15,15.7,11567168,94.5687
39,2025-03-09 22:23:20,12.9,11557284,94.4798
40,2025-03-09 22:23:25,24.1,11485820,94.2227
41,2025-03-09 22:23:31,20.9,11456092,94.2024
42,2025-03-09 22:23:36,17.2,11470336,94.5462
43,2025-03-09 22:23:41,45.6,11470372,94.4485
44,2025-03-09 22:23:46,22.9,11470880,94.0931
45,2025-03-09 22:23:52,20.9,11471008,93.9635
46,2025-03-09 22:23:57,32,11471048,93.7963
47,2025-03-09 22:24:02,8.2,11471036,93.8716
48,2025-03-09 22:24:07,20.4,11470996,93.7781
49,2025-03-09 22:24:13,13.8,11471612,93.7483
50,2025-03-09 22:24:18,11.6,11486076,94.0740
51,2025-03-09 22:24:23,18.2,11470324,93.9357
52,2025-03-09 22:24:29,16.5,11484740,93.8483
53,2025-03-09 22:24:34,18.6,11470344,93.8958
54,2025-03-09 22:24:39,11.6,11470740,93.7341
55,2025-03-09 22:24:44,13.5,11470812,93.7294
56,2025-03-09 22:24:50,37.5,11597872,95.2748
57,2025-03-09 22:24:55,34.5,11507476,94.8521
58,2025-03-09 22:25:00,34.1,11601244,95.5987
59,2025-03-09 22:25:05,22.6,11563700,95.5836
60,2025-03-09 22:25:10,37.8,11564680,95.4922
61,2025-03-09 22:25:16,29.5,11562744,95.4072
62,2025-03-09 22:25:21,31.2,11561416,95.2589
63,2025-03-09 22:25:26,19,11562516,95.1013
64,2025-03-09 22:25:32,18.8,11600120,95.8781
65,2025-03-09 22:25:37,25.3,11630100,96.0622
66,2025-03-09 22:25:42,13.1,11629228,96.1673
67,2025-03-09 22:25:47,17.4,11616528,96.0595
68,2025-03-09 22:25:53,12.6,11588340,95.8408
69,2025-03-09 22:25:58,14.3,11617028,96.0323
70,2025-03-09 22:26:03,31.5,11589476,96.0678
71,2025-03-09 22:26:08,35.1,11588532,95.3511
72,2025-03-09 22:26:14,15.3,11562112,96.3529
73,2025-03-09 22:26:19,20,11376308,95.1078
74,2025-03-09 22:26:24,14.1,11378376,94.4940
75,2025-03-09 22:26:29,51.5,11378424,94.6249
76,2025-03-09 22:26:35,37,11373304,94.5830
77,2025-03-09 22:26:40,38.6,11374924,94.6842
78,2025-03-09 22:26:45,65.4,11373924,94.4066
79,2025-03-09 22:26:51,38.2,11373852,94.4313
80,2025-03-09 22:26:56,32,11374024,94.4417
81,2025-03-09 22:27:01,29.8,11374012,94.7887
82,2025-03-09 22:27:07,23.5,11374232,94.6210
83,2025-03-09 22:27:12,23.5,11377020,94.7658
84,2025-03-09 22:27:17,11.8,11339784,94.2751
85,2025-03-09 22:27:22,20.9,11321416,94.2824
86,2025-03-09 22:27:28,18.6,11324300,94.1640
87,2025-03-09 22:27:33,11.6,11314928,94.1080
88,2025-03-09 22:27:38,10.5,11315728,93.9576
89,2025-03-09 22:27:43,16.7,11399772,94.9627
90,2025-03-09 22:27:49,8.3,11356928,94.3397
91,2025-03-09 22:27:54,26.7,11363228,95.0521
92,2025-03-09 22:27:59,9.6,11363056,95.2346
93,2025-03-09 22:28:04,26.8,11350304,94.7542
94,2025-03-09 22:28:10,8.4,11336148,94.9828
95,2025-03-09 22:28:15,12.8,11339704,94.8397
96,2025-03-09 22:28:20,9.6,11334864,94.9725
97,2025-03-09 22:28:25,23.6,11337720,94.9121
98,2025-03-09 22:28:31,28.2,11357208,94.5935
99,2025-03-09 22:28:36,21.4,11347332,93.6555
100,2025-03-09 22:28:41,23.7,11351456,94.1644
101,2025-03-09 22:28:46,25,11333432,94.0921
102,2025-03-09 22:28:52,25,11333556,93.5504
103,2025-03-09 22:28:57,20.2,11359752,94.0250
