ID,Timestamp,%CPU (global),%CPU (user),%CPU(system)
0,2025-03-09 17:43:59,7.7,3.3,2.2
1,2025-03-09 17:44:04,7.2,4.8,2.4
2,2025-03-09 17:44:10,10.5,7.0,3.5
3,2025-03-09 17:44:15,11.9,8.3,3.6
4,2025-03-09 17:44:20,19.4,13.3,6.1
5,2025-03-09 17:44:25,9.3,7.0,2.3
6,2025-03-09 17:44:31,7.1,4.7,2.4
7,2025-03-09 17:44:36,4.8,3.6,1.2
8,2025-03-09 17:44:41,7.0,5.8,1.2
9,2025-03-09 17:44:46,12.0,7.0,4.0
10,2025-03-09 17:44:51,7.0,4.7,1.2
11,2025-03-09 17:44:57,30.0,24.4,5.6
12,2025-03-09 17:45:02,7.1,4.8,2.4
13,2025-03-09 17:45:07,16.9,14.6,2.2
14,2025-03-09 17:45:12,10.3,8.0,2.3
15,2025-03-09 17:45:18,9.3,5.8,2.3
16,2025-03-09 17:45:23,10.2,4.5,1.1
17,2025-03-09 17:45:28,15.7,10.1,3.4
18,2025-03-09 17:45:33,5.9,4.7,1.2
19,2025-03-09 17:45:39,9.4,7.1,2.4
20,2025-03-09 17:45:44,7.1,4.7,2.4
21,2025-03-09 17:45:49,8.1,4.7,2.3
22,2025-03-09 17:45:54,6.0,4.8,1.2
23,2025-03-09 17:46:00,10.7,6.0,4.8
24,2025-03-09 17:46:05,7.1,4.7,2.4
25,2025-03-09 17:46:10,7.1,4.8,2.4
26,2025-03-09 17:46:15,22.6,16.7,6.0
27,2025-03-09 17:46:20,7.0,4.7,2.3
28,2025-03-09 17:46:26,20.6,14.4,6.2
29,2025-03-09 17:46:31,31.0,22.6,8.3
30,2025-03-09 17:46:36,4.9,3.7,1.2
31,2025-03-09 17:46:41,22.7,15.5,7.2
32,2025-03-09 17:46:47,26.5,17.3,7.1
33,2025-03-09 17:46:52,9.3,8.1,1.2
34,2025-03-09 17:46:57,15.5,11.9,3.6
35,2025-03-09 17:47:02,8.0,4.6,2.3
36,2025-03-09 17:47:08,17.7,11.5,6.2
37,2025-03-09 17:47:13,5.9,3.5,2.4
