ID,Timestamp,Capacidad disponible,Capacidad utilizada,% Memoria utilizada
0,2025-03-09 19:18:19,13214648,2785856,17.4111
1,2025-03-09 19:18:22,13065044,2935460,18.3460
2,2025-03-09 19:18:25,13239048,2761456,17.2586
3,2025-03-09 19:18:28,13243064,2757440,17.2335
4,2025-03-09 19:18:31,13249364,2751140,17.1941
5,2025-03-09 19:18:34,13252908,2747596,17.1719
6,2025-03-09 19:18:38,13244984,2755520,17.2215
7,2025-03-09 19:18:41,13241256,2759248,17.2448
8,2025-03-09 19:18:44,13232300,2768204,17.3007
9,2025-03-09 19:18:47,13227088,2773416,17.3333
10,2025-03-09 19:18:50,13217160,2783344,17.3954
11,2025-03-09 19:18:53,13205776,2794728,17.4665
12,2025-03-09 19:18:56,13223488,2777016,17.3558
13,2025-03-09 19:18:59,13243184,2757320,17.2327
14,2025-03-09 19:19:02,13250776,2749728,17.1853
15,2025-03-09 19:19:05,13230316,2770188,17.3131
16,2025-03-09 19:19:08,13249704,2750800,17.1920
17,2025-03-09 19:19:11,13237188,2763316,17.2702
18,2025-03-09 19:19:14,13257072,2743432,17.1459
19,2025-03-09 19:19:17,13245956,2754548,17.2154
20,2025-03-09 19:19:20,13252052,2748452,17.1773
21,2025-03-09 19:19:23,13247812,2752692,17.2038
22,2025-03-09 19:19:26,13248144,2752360,17.2017
23,2025-03-09 19:19:29,13255860,2744644,17.1535
24,2025-03-09 19:19:32,13236512,2763992,17.2744
25,2025-03-09 19:19:35,13227264,2773240,17.3322
26,2025-03-09 19:19:38,13272980,2727524,17.0465
27,2025-03-09 19:19:41,13255572,2744932,17.1553
28,2025-03-09 19:19:44,13254984,2745520,17.1590
29,2025-03-09 19:19:47,13252444,2748060,17.1748
30,2025-03-09 19:19:50,13256180,2744324,17.1515
31,2025-03-09 19:19:53,13280912,2719592,16.9969
32,2025-03-09 19:19:56,13272996,2727508,17.0464
33,2025-03-09 19:19:59,13277220,2723284,17.0200
34,2025-03-09 19:20:02,13285180,2715324,16.9702
35,2025-03-09 19:20:05,13282232,2718272,16.9887
36,2025-03-09 19:20:08,13271608,2728896,17.0551
37,2025-03-09 19:20:11,13281456,2719048,16.9935
38,2025-03-09 19:20:14,13272016,2728488,17.0525
39,2025-03-09 19:20:17,13253884,2746620,17.1658
40,2025-03-09 19:20:20,13294284,2706220,16.9133
41,2025-03-09 19:20:23,13291096,2709408,16.9333
42,2025-03-09 19:20:26,13305720,2694784,16.8419
43,2025-03-09 19:20:29,13319100,2681404,16.7582
44,2025-03-09 19:20:32,13313564,2686940,16.7928
