ID,Timestamp,%CPU (global),%CPU (user),%CPU(system)
0,2025-03-01 18:26:30,10.0,6.0,4.0
1,2025-03-01 18:26:35,10.0,7.0,3.0
2,2025-03-01 18:26:40,14.9,11.7,3.2
3,2025-03-01 18:26:45,7.3,5.2,2.1
4,2025-03-01 18:26:51,14.3,11.9,2.4
5,2025-03-01 18:26:56,12.1,8.1,4.0
6,2025-03-01 18:27:01,11.0,8.0,3.0
7,2025-03-01 18:27:06,13.4,9.8,2.4
8,2025-03-01 18:27:12,8.3,4.8,2.4
9,2025-03-01 18:27:17,17.6,12.7,4.9
10,2025-03-01 18:27:22,13.0,8.0,4.0
11,2025-03-01 18:27:27,17.3,11.5,4.8
12,2025-03-01 18:27:33,10.1,7.1,3.0
13,2025-03-01 18:27:38,17.9,14.3,3.6
14,2025-03-01 18:27:43,17.6,3.5,14.1
15,2025-03-01 18:27:48,11.9,6.9,5.0
16,2025-03-01 18:27:54,10.0,6.0,4.0
17,2025-03-01 18:27:59,17.3,12.2,4.1
18,2025-03-01 18:28:04,9.4,5.9,2.4
19,2025-03-01 18:28:10,31.4,25.6,4.7
20,2025-03-01 18:28:15,16.3,14.0,2.3
21,2025-03-01 18:28:20,80.5,78.2,2.3
22,2025-03-01 18:28:25,10.3,7.2,3.1
23,2025-03-01 18:28:30,7.1,4.0,3.0
24,2025-03-01 18:28:36,10.0,6.0,3.0
25,2025-03-01 18:28:41,18.0,14.6,3.4
26,2025-03-01 18:28:46,13.9,8.9,4.0
27,2025-03-01 18:28:52,12.7,6.9,2.9
28,2025-03-01 18:28:57,12.4,6.7,3.4
29,2025-03-01 18:29:02,27.8,24.4,3.3
30,2025-03-01 18:29:07,12.4,7.2,5.2
31,2025-03-01 18:29:13,10.1,7.1,3.0
32,2025-03-01 18:29:18,13.3,9.2,4.1
33,2025-03-01 18:29:23,10.1,7.1,3.0
34,2025-03-01 18:29:28,10.2,7.1,3.1
35,2025-03-01 18:29:34,10.2,7.1,3.1
36,2025-03-01 18:29:39,13.5,11.2,2.2
37,2025-03-01 18:29:44,12.1,8.1,4.0
38,2025-03-01 18:29:50,10.0,7.0,3.0
39,2025-03-01 18:29:55,15.6,12.2,3.3
40,2025-03-01 18:30:00,12.0,9.0,3.0
41,2025-03-01 18:30:05,14.0,11.6,2.3
42,2025-03-01 18:30:11,10.1,7.1,3.0
43,2025-03-01 18:30:16,10.5,8.1,2.3
44,2025-03-01 18:30:21,11.2,7.1,4.1
45,2025-03-01 18:30:27,8.2,5.2,3.1
46,2025-03-01 18:30:32,6.9,5.7,1.1
47,2025-03-01 18:30:37,8.2,5.2,3.1
48,2025-03-01 18:30:42,5.6,4.4,1.1
49,2025-03-01 18:30:48,19.2,13.1,5.1
50,2025-03-01 18:30:53,67.8,40.2,26.4
51,2025-03-01 18:30:58,4.0,2.0,2.0
52,2025-03-01 18:31:03,13.6,9.1,3.4
53,2025-03-01 18:31:09,14.3,11.2,3.1
54,2025-03-01 18:31:14,10.3,8.0,2.3
55,2025-03-01 18:31:19,13.1,10.1,3.0
56,2025-03-01 18:31:24,15.5,13.1,2.4
57,2025-03-01 18:31:30,15.7,13.3,2.4
58,2025-03-01 18:31:35,13.3,9.2,4.1
59,2025-03-01 18:31:40,12.1,8.1,4.0
60,2025-03-01 18:31:45,18.8,15.3,3.5
61,2025-03-01 18:31:51,12.0,8.0,4.0
62,2025-03-01 18:31:56,14.0,10.0,4.0
63,2025-03-01 18:32:01,17.5,12.4,4.1
64,2025-03-01 18:32:06,11.1,7.1,4.0
65,2025-03-01 18:32:12,13.1,10.7,2.4
66,2025-03-01 18:32:17,13.1,9.1,4.0
67,2025-03-01 18:32:22,18.0,11.0,7.0
68,2025-03-01 18:32:28,17.2,12.6,4.6
69,2025-03-01 18:32:33,22.4,21.2,1.2
70,2025-03-01 18:32:38,16.8,12.6,4.2
71,2025-03-01 18:32:43,13.0,9.0,4.0
72,2025-03-01 18:32:49,12.2,8.9,3.3
73,2025-03-01 18:32:54,15.2,11.1,4.0
74,2025-03-01 18:32:59,17.7,12.5,5.2
75,2025-03-01 18:33:04,12.0,8.0,4.0
76,2025-03-01 18:33:10,9.1,6.1,3.0
77,2025-03-01 18:33:15,14.9,10.9,4.0
78,2025-03-01 18:33:20,17.9,13.7,4.2
79,2025-03-01 18:33:26,10.1,6.1,4.0
80,2025-03-01 18:33:31,17.2,13.1,4.0
81,2025-03-01 18:33:36,14.9,11.5,3.4
82,2025-03-01 18:33:41,14.9,8.9,5.9
83,2025-03-01 18:33:47,12.1,8.1,4.0
84,2025-03-01 18:33:52,14.5,12.0,2.4
85,2025-03-01 18:33:57,12.1,7.1,4.0
86,2025-03-01 18:34:02,29.1,17.4,7.0
87,2025-03-01 18:34:08,25.0,16.7,8.3
88,2025-03-01 18:34:13,13.7,9.8,3.9
89,2025-03-01 18:34:18,10.1,7.1,3.0
90,2025-03-01 18:34:23,14.3,10.2,4.1
91,2025-03-01 18:34:29,14.1,9.1,5.1
92,2025-03-01 18:34:34,12.2,8.2,4.1
93,2025-03-01 18:34:39,19.2,13.1,6.1
94,2025-03-01 18:34:44,14.8,12.5,2.3
95,2025-03-01 18:34:50,11.2,7.1,4.1
96,2025-03-01 18:34:55,21.8,16.1,4.6
97,2025-03-01 18:35:00,20.9,17.6,3.3
98,2025-03-01 18:35:06,13.0,8.0,5.0
99,2025-03-01 18:35:11,23.4,16.0,4.3
100,2025-03-01 18:35:16,14.0,9.0,5.0
101,2025-03-01 18:35:21,10.2,6.1,4.1
102,2025-03-01 18:35:27,13.8,10.3,3.4
103,2025-03-01 18:35:32,12.1,8.1,4.0
104,2025-03-01 18:35:37,14.8,11.4,3.4
105,2025-03-01 18:35:42,16.8,11.6,5.3
106,2025-03-01 18:35:48,11.7,8.5,3.2
107,2025-03-01 18:35:53,19.2,15.2,4.0
108,2025-03-01 18:35:58,13.3,10.2,3.1
109,2025-03-01 18:36:03,11.2,8.2,3.1
110,2025-03-01 18:36:09,14.1,10.1,4.0
111,2025-03-01 18:36:14,15.7,11.2,4.5
112,2025-03-01 18:36:19,13.1,9.1,4.0
113,2025-03-01 18:36:25,15.2,11.1,4.0
114,2025-03-01 18:36:30,15.7,10.8,4.9
115,2025-03-01 18:36:35,13.9,7.9,5.9
116,2025-03-01 18:36:40,20.0,16.5,3.5
117,2025-03-01 18:36:46,17.2,12.1,5.1
118,2025-03-01 18:36:51,14.0,11.0,3.0
119,2025-03-01 18:36:56,15.2,10.1,5.1
120,2025-03-01 18:37:01,15.0,10.0,5.0
121,2025-03-01 18:37:07,13.1,9.1,4.0
122,2025-03-01 18:37:12,14.6,8.7,5.8
123,2025-03-01 18:37:17,10.0,6.0,4.0
124,2025-03-01 18:37:23,12.0,8.7,3.3
125,2025-03-01 18:37:28,23.5,18.8,4.7
126,2025-03-01 18:37:33,9.2,6.1,3.1
127,2025-03-01 18:37:38,22.5,16.9,5.6
128,2025-03-01 18:37:44,15.5,13.1,2.4
129,2025-03-01 18:37:49,15.1,11.6,3.5
130,2025-03-01 18:37:54,13.0,8.0,5.0
131,2025-03-01 18:37:59,17.7,11.5,6.2
132,2025-03-01 18:38:05,8.1,5.1,3.0
133,2025-03-01 18:38:10,14.0,10.0,4.0
134,2025-03-01 18:38:15,11.9,10.7,1.2
135,2025-03-01 18:38:21,18.0,13.0,5.0
136,2025-03-01 18:38:26,14.0,9.0,5.0
137,2025-03-01 18:38:31,16.7,12.2,3.3
138,2025-03-01 18:38:36,9.1,6.1,3.0
139,2025-03-01 18:38:42,14.3,9.2,5.1
140,2025-03-01 18:38:47,19.0,14.3,4.8
141,2025-03-01 18:38:52,12.1,8.1,4.0
142,2025-03-01 18:38:57,12.1,9.1,3.0
143,2025-03-01 18:39:03,18.6,8.1,10.5
144,2025-03-01 18:39:08,23.2,10.1,5.1
145,2025-03-01 18:39:13,10.9,6.9,4.0
146,2025-03-01 18:39:18,19.4,13.6,5.8
147,2025-03-01 18:39:24,12.1,8.1,4.0
148,2025-03-01 18:39:29,13.6,11.4,2.3
149,2025-03-01 18:39:34,16.7,11.1,4.4
150,2025-03-01 18:39:40,16.5,13.2,3.3
151,2025-03-01 18:39:45,12.9,8.9,4.0
152,2025-03-01 18:39:50,12.9,10.6,2.4
153,2025-03-01 18:39:55,9.9,6.9,3.0
154,2025-03-01 18:40:01,15.3,10.2,5.1
155,2025-03-01 18:40:06,15.3,12.2,3.1
156,2025-03-01 18:40:11,17.8,10.9,5.9
157,2025-03-01 18:40:16,14.9,11.5,3.4
158,2025-03-01 18:40:22,12.9,9.4,3.5
159,2025-03-01 18:40:27,17.0,12.0,4.0
160,2025-03-01 18:40:32,15.6,12.2,3.3
161,2025-03-01 18:40:37,15.0,10.0,5.0
162,2025-03-01 18:40:43,12.2,10.0,2.2
163,2025-03-01 18:40:48,17.8,14.4,3.3
164,2025-03-01 18:40:53,13.7,8.8,4.9
165,2025-03-01 18:40:59,15.7,12.4,3.4
166,2025-03-01 18:41:04,10.2,7.1,3.1
167,2025-03-01 18:41:09,12.2,8.2,4.1
168,2025-03-01 18:41:14,13.0,9.0,3.0
169,2025-03-01 18:41:20,14.0,9.0,5.0
170,2025-03-01 18:41:25,17.4,14.0,3.5
171,2025-03-01 18:41:30,14.3,9.2,5.1
172,2025-03-01 18:41:35,10.1,6.1,4.0
173,2025-03-01 18:41:41,20.2,16.7,3.6
174,2025-03-01 18:41:46,10.1,7.1,3.0
175,2025-03-01 18:41:51,14.1,9.1,5.1
176,2025-03-01 18:41:56,12.9,9.4,3.5
177,2025-03-01 18:42:02,18.2,11.1,6.1
178,2025-03-01 18:42:07,11.0,7.0,4.0
179,2025-03-01 18:42:12,13.8,11.5,2.3
180,2025-03-01 18:42:18,12.1,8.1,4.0
181,2025-03-01 18:42:23,18.8,14.6,4.2
182,2025-03-01 18:42:28,14.9,9.6,4.3
183,2025-03-01 18:42:33,16.3,11.2,5.1
184,2025-03-01 18:42:39,14.0,10.0,4.0
185,2025-03-01 18:42:44,13.0,9.0,4.0
186,2025-03-01 18:42:49,18.6,15.5,3.1
187,2025-03-01 18:42:54,15.2,10.1,5.1
188,2025-03-01 18:43:00,14.3,10.2,4.1
189,2025-03-01 18:43:05,21.6,17.0,4.5
190,2025-03-01 18:43:10,14.0,10.5,3.5
191,2025-03-01 18:43:15,16.3,12.8,3.5
192,2025-03-01 18:43:21,18.8,12.9,5.9
193,2025-03-01 18:43:26,15.5,12.4,3.1
194,2025-03-01 18:43:31,14.1,9.1,5.1
195,2025-03-01 18:43:37,13.7,9.8,3.9
196,2025-03-01 18:43:42,12.1,8.8,3.3
197,2025-03-01 18:43:47,13.3,9.2,4.1
198,2025-03-01 18:43:52,20.6,14.4,6.2
199,2025-03-01 18:43:58,15.9,11.2,4.7
200,2025-03-01 18:44:03,13.1,9.1,4.0
201,2025-03-01 18:44:08,14.1,11.8,2.4
202,2025-03-01 18:44:13,12.0,8.0,4.0
203,2025-03-01 18:44:19,15.8,9.9,5.0
204,2025-03-01 18:44:24,18.0,13.0,5.0
205,2025-03-01 18:44:29,11.9,7.9,4.0
206,2025-03-01 18:44:35,9.2,4.1,5.1
207,2025-03-01 18:44:40,19.0,13.0,6.0
208,2025-03-01 18:44:45,12.9,7.9,4.0
209,2025-03-01 18:44:50,11.6,8.1,3.5
210,2025-03-01 18:44:56,14.4,10.0,4.4
211,2025-03-01 18:45:01,12.2,10.0,2.2
212,2025-03-01 18:45:06,12.4,8.2,4.1
213,2025-03-01 18:45:11,18.8,14.6,4.2
214,2025-03-01 18:45:17,16.3,9.2,4.1
215,2025-03-01 18:45:22,19.8,14.6,5.2
216,2025-03-01 18:45:27,12.2,8.2,4.1
217,2025-03-01 18:45:32,17.0,12.8,4.3
218,2025-03-01 18:45:38,16.7,13.3,3.3
219,2025-03-01 18:45:43,16.8,12.6,4.2
220,2025-03-01 18:45:48,19.2,15.2,4.0
221,2025-03-01 18:45:53,16.0,11.0,5.0
222,2025-03-01 18:45:59,13.1,9.1,4.0
223,2025-03-01 18:46:04,16.5,12.4,4.1
224,2025-03-01 18:46:09,15.4,9.6,5.8
225,2025-03-01 18:46:15,18.6,14.4,4.1
226,2025-03-01 18:46:20,13.0,9.0,4.0
227,2025-03-01 18:46:25,10.1,7.1,3.0
228,2025-03-01 18:46:30,14.5,12.0,2.4
229,2025-03-01 18:46:36,11.2,7.1,4.1
230,2025-03-01 18:46:41,14.0,10.8,3.2
231,2025-03-01 18:46:46,14.9,11.5,3.4
232,2025-03-01 18:46:51,24.5,20.2,4.3
233,2025-03-01 18:46:57,13.3,8.2,5.1
234,2025-03-01 18:47:02,17.2,12.6,3.4
235,2025-03-01 18:47:07,18.4,13.3,5.1
236,2025-03-01 18:47:13,19.2,13.1,6.1
237,2025-03-01 18:47:18,14.9,10.9,4.0
238,2025-03-01 18:47:23,19.8,15.6,4.2
239,2025-03-01 18:47:28,14.3,10.2,4.1
240,2025-03-01 18:47:34,14.0,10.5,3.5
241,2025-03-01 18:47:39,19.4,11.2,5.1
242,2025-03-01 18:47:44,20.6,14.7,5.9
