ID,Timestamp,%CPU (global),Capacidad de memoria utilizada,% Memoria utilizada
0,2025-03-09 22:24:25,0.7,1835284,26.2381
1,2025-03-09 22:24:31,1.4,1835292,26.2429
2,2025-03-09 22:24:36,1.4,1835300,26.2412
3,2025-03-09 22:24:41,1.4,1835300,26.2413
4,2025-03-09 22:24:46,1.4,1835308,26.2413
5,2025-03-09 22:24:52,2,1835308,26.2395
6,2025-03-09 22:24:57,2,1835316,26.2396
7,2025-03-09 22:25:02,1.4,1835324,26.2323
8,2025-03-09 22:25:08,1.4,1835332,26.2331
9,2025-03-09 22:25:13,1.4,1835340,26.2333
10,2025-03-09 22:25:18,2.1,1835340,26.2338
11,2025-03-09 22:25:24,2.1,1835348,26.2358
12,2025-03-09 22:25:29,1.4,1835356,26.2354
13,2025-03-09 22:25:34,1.4,1835356,26.2343
14,2025-03-09 22:25:39,2,1835364,26.2337
15,2025-03-09 22:25:45,2.1,1835364,26.2361
16,2025-03-09 22:25:50,0.7,1835372,26.2354
17,2025-03-09 22:25:55,2.1,1835380,26.2358
18,2025-03-09 22:26:01,2,1835388,26.2385
19,2025-03-09 22:26:06,1.4,1835396,26.2338
20,2025-03-09 22:26:11,0.7,1835396,26.2359
21,2025-03-09 22:26:16,1.4,1835404,26.2347
22,2025-03-09 22:26:22,2,1835404,26.2369
23,2025-03-09 22:26:27,0.7,1835412,26.2339
24,2025-03-09 22:26:32,1.4,1835412,26.2377
25,2025-03-09 22:26:38,0.7,1835420,26.2359
26,2025-03-09 22:26:43,2.1,1835420,26.2381
27,2025-03-09 22:26:48,1.4,1835428,26.2337
28,2025-03-09 22:26:53,2,1835428,26.2353
29,2025-03-09 22:26:59,1.4,1835436,26.2342
30,2025-03-09 22:27:04,1.4,1835436,26.2322
31,2025-03-09 22:27:09,0.7,1835444,26.2329
32,2025-03-09 22:27:15,1.4,1835452,26.2388
33,2025-03-09 22:27:20,2,1835452,26.2420
34,2025-03-09 22:27:25,2.7,1835460,26.2424
35,2025-03-09 22:27:30,1.4,1835468,26.2409
36,2025-03-09 22:27:36,2.1,1835468,26.2427
37,2025-03-09 22:27:41,0.7,1835476,26.2435
38,2025-03-09 22:27:46,0.7,1835484,26.2453
39,2025-03-09 22:27:52,0.7,1835484,26.2439
40,2025-03-09 22:27:57,1.4,1835492,26.2391
41,2025-03-09 22:28:02,1.4,1835492,26.2448
42,2025-03-09 22:28:07,1.4,1835500,26.2441
43,2025-03-09 22:28:13,1.4,1835500,26.2459
44,2025-03-09 22:28:18,2,1835508,26.2466
45,2025-03-09 22:28:23,1.4,1835508,26.2477
46,2025-03-09 22:28:29,1.4,1835516,26.2478
47,2025-03-09 22:28:34,2.1,1835516,26.2452
48,2025-03-09 22:28:39,0.7,1835524,26.2466
49,2025-03-09 22:28:44,0.8,1835524,26.2617
50,2025-03-09 22:28:50,2.1,1835532,26.2611
51,2025-03-09 22:28:55,2.1,1835540,26.2581
52,2025-03-09 22:29:00,1.4,1835540,26.2542
53,2025-03-09 22:29:06,2,1835548,26.2529
54,2025-03-09 22:29:11,2,1835548,26.2514
55,2025-03-09 22:29:16,1.4,1835556,26.2515
56,2025-03-09 22:29:21,2,1835564,26.2482
57,2025-03-09 22:29:27,1.3,1835564,26.2483
58,2025-03-09 22:29:32,1.4,1835572,26.2532
59,2025-03-09 22:29:37,0.7,1835572,26.2497
60,2025-03-09 22:29:43,1.4,1835584,26.2528
61,2025-03-09 22:29:48,0.7,1835584,26.2499
62,2025-03-09 22:29:53,1.4,1835592,26.2487
63,2025-03-09 22:29:59,1.4,1835592,26.2477
64,2025-03-09 22:30:04,1.4,1835616,26.2330
65,2025-03-09 22:30:09,2,1835624,26.2355
66,2025-03-09 22:30:14,2.1,1835628,26.2395
67,2025-03-09 22:30:20,1.4,1835636,26.2379
68,2025-03-09 22:30:25,2,1835644,26.2385
69,2025-03-09 22:30:30,1.4,1835644,26.2391
70,2025-03-09 22:30:36,1.4,1835652,26.2377
