ID,Timestamp,Capacidad disponible,Capacidad utilizada,% Memoria utilizada
0,2025-03-09 19:22:04,7002056,1080100,13.3640
1,2025-03-09 19:22:07,7001860,1080296,13.3664
2,2025-03-09 19:22:10,7001364,1080792,13.3726
3,2025-03-09 19:22:13,7001844,1080312,13.3666
4,2025-03-09 19:22:16,7001624,1080532,13.3694
5,2025-03-09 19:22:19,7000772,1081384,13.3799
6,2025-03-09 19:22:22,7000868,1081288,13.3787
7,2025-03-09 19:22:25,7000876,1081280,13.3786
8,2025-03-09 19:22:28,7001388,1080768,13.3723
9,2025-03-09 19:22:31,7001392,1080764,13.3722
10,2025-03-09 19:22:34,7001644,1080512,13.3691
11,2025-03-09 19:22:37,7002352,1079804,13.3603
12,2025-03-09 19:22:40,7002856,1079300,13.3541
13,2025-03-09 19:22:43,7002104,1080052,13.3634
14,2025-03-09 19:22:46,7002340,1079816,13.3605
15,2025-03-09 19:22:49,7002364,1079792,13.3602
16,2025-03-09 19:22:52,7002388,1079768,13.3599
17,2025-03-09 19:22:55,7002116,1080040,13.3633
18,2025-03-09 19:22:58,7002360,1079796,13.3602
19,2025-03-09 19:23:02,7002888,1079268,13.3537
20,2025-03-09 19:23:05,7002876,1079280,13.3539
21,2025-03-09 19:23:08,7003152,1079004,13.3504
22,2025-03-09 19:23:11,7003412,1078744,13.3472
23,2025-03-09 19:23:14,7003412,1078744,13.3472
24,2025-03-09 19:23:17,7002644,1079512,13.3567
25,2025-03-09 19:23:20,7002644,1079512,13.3567
26,2025-03-09 19:23:23,7002172,1079984,13.3626
27,2025-03-09 19:23:26,7001944,1080212,13.3654
28,2025-03-09 19:23:29,7001044,1081112,13.3765
29,2025-03-09 19:23:32,7001500,1080656,13.3709
30,2025-03-09 19:23:35,7001760,1080396,13.3677
31,2025-03-09 19:23:38,7001692,1080464,13.3685
32,2025-03-09 19:23:41,7000972,1081184,13.3774
33,2025-03-09 19:23:44,7001504,1080652,13.3708
34,2025-03-09 19:23:47,7001252,1080904,13.3740
35,2025-03-09 19:23:50,7001108,1081048,13.3757
36,2025-03-09 19:23:53,7001600,1080556,13.3697
37,2025-03-09 19:23:56,7001708,1080448,13.3683
38,2025-03-09 19:23:59,7001480,1080676,13.3711
39,2025-03-09 19:24:02,7001008,1081148,13.3770
40,2025-03-09 19:24:05,7000996,1081160,13.3771
41,2025-03-09 19:24:08,7001500,1080656,13.3709
42,2025-03-09 19:24:11,7001756,1080400,13.3677
43,2025-03-09 19:24:14,7001764,1080392,13.3676
