ID,Timestamp,%CPU (global),Capacidad de memoria utilizada,% Memoria utilizada
0,2025-03-22 13:59:52,9.8,1088048,13.4624
1,2025-03-22 13:59:53,9.6,1083716,13.4088
2,2025-03-22 13:59:54,9,1083656,13.4081
3,2025-03-22 13:59:55,9,1084384,13.4171
4,2025-03-22 13:59:57,9,1084072,13.4132
5,2025-03-22 13:59:58,9.7,1085552,13.4315
6,2025-03-22 13:59:59,8.3,1085868,13.4354
7,2025-03-22 14:00:00,9.6,1086880,13.4480
8,2025-03-22 14:00:02,9,1089428,13.4795
9,2025-03-22 14:00:03,9,1089340,13.4784
10,2025-03-22 14:00:04,9,1090008,13.4867
11,2025-03-22 14:00:05,9.6,1090488,13.4926
12,2025-03-22 14:00:07,8.3,1091200,13.5014
13,2025-03-22 14:00:08,9,1091192,13.5013
14,2025-03-22 14:00:09,9.7,1089564,13.4812
15,2025-03-22 14:00:10,9,1090140,13.4883
16,2025-03-22 14:00:12,9.6,1088944,13.4735
17,2025-03-22 14:00:13,9,1089104,13.4755
18,2025-03-22 14:00:14,9.6,1089832,13.4845
19,2025-03-22 14:00:16,9.6,1091072,13.4998
20,2025-03-22 14:00:17,9.6,1090596,13.4939
21,2025-03-22 14:00:18,9,1091300,13.5026
22,2025-03-22 14:00:19,9,1091144,13.5007
23,2025-03-22 14:00:21,9.7,1090552,13.4934
24,2025-03-22 14:00:22,9,1090536,13.4932
25,2025-03-22 14:00:23,8.9,1090260,13.4898
26,2025-03-22 14:00:24,9,1089780,13.4838
27,2025-03-22 14:00:26,9,1090456,13.4922
28,2025-03-22 14:00:27,9.7,1090092,13.4877
29,2025-03-22 14:00:28,9,1090556,13.4934
30,2025-03-22 14:00:29,9,1090500,13.4927
31,2025-03-22 14:00:31,9.7,1090312,13.4904
32,2025-03-22 14:00:32,9,1089984,13.4864
33,2025-03-22 14:00:33,8.9,1090460,13.4922
34,2025-03-22 14:00:34,9.7,1089988,13.4864
35,2025-03-22 14:00:36,9,1089776,13.4838
36,2025-03-22 14:00:37,9,1090516,13.4929
37,2025-03-22 14:00:38,9.7,1089360,13.4786
38,2025-03-22 14:00:39,9.6,1089972,13.4862
39,2025-03-22 14:00:41,9,1089132,13.4758
40,2025-03-22 14:00:42,9,1089632,13.4820
41,2025-03-22 14:00:43,9.7,1089908,13.4854
42,2025-03-22 14:00:44,8.9,1089896,13.4853
43,2025-03-22 14:00:46,9,1090092,13.4877
44,2025-03-22 14:00:47,9.7,1090320,13.4905
45,2025-03-22 14:00:48,8.9,1090840,13.4969
46,2025-03-22 14:00:49,9.6,1088484,13.4678
47,2025-03-22 14:00:51,9.6,1089240,13.4772
48,2025-03-22 14:00:52,9,1089744,13.4834
49,2025-03-22 14:00:53,9,1089452,13.4798
50,2025-03-22 14:00:55,9,1089888,13.4852
51,2025-03-22 14:00:56,9.6,1089720,13.4831
52,2025-03-22 14:00:57,9.7,1089492,13.4803
53,2025-03-22 14:00:58,9,1089652,13.4822
54,2025-03-22 14:01:00,9,1090024,13.4869
55,2025-03-22 14:01:01,9,1089104,13.4755
56,2025-03-22 14:01:02,9.6,1089384,13.4789
57,2025-03-22 14:01:03,9.7,1089128,13.4758
58,2025-03-22 14:01:05,9,1088192,13.4642
59,2025-03-22 14:01:06,9.7,1088424,13.4671
60,2025-03-22 14:01:07,9.5,1088392,13.4667
61,2025-03-22 14:01:08,8.9,1088616,13.4694
62,2025-03-22 14:01:10,9,1089124,13.4757
63,2025-03-22 14:01:11,9.7,1088820,13.4720
64,2025-03-22 14:01:12,9.6,1088636,13.4697
65,2025-03-22 14:01:13,9.7,1088892,13.4728
66,2025-03-22 14:01:15,9.6,1088444,13.4673
67,2025-03-22 14:01:16,9.7,1089388,13.4790
68,2025-03-22 14:01:17,9.6,1089532,13.4808
69,2025-03-22 14:01:18,8.9,1090256,13.4897
70,2025-03-22 14:01:20,9.5,1089460,13.4799
71,2025-03-22 14:01:21,8.3,1090704,13.4953
72,2025-03-22 14:01:22,9.5,1090192,13.4889
73,2025-03-22 14:01:23,9,1089888,13.4852
74,2025-03-22 14:01:25,9,1089668,13.4824
75,2025-03-22 14:01:26,9.7,1090788,13.4963
76,2025-03-22 14:01:27,9,1089504,13.4804
77,2025-03-22 14:01:28,9,1089148,13.4760
78,2025-03-22 14:01:30,9.4,1088936,13.4734
79,2025-03-22 14:01:31,9,1088880,13.4727
80,2025-03-22 14:01:32,9.7,1088852,13.4723
81,2025-03-22 14:01:33,8.3,1088412,13.4669
82,2025-03-22 14:01:35,9.6,1088544,13.4685
83,2025-03-22 14:01:36,9,1088924,13.4732
84,2025-03-22 14:01:37,9,1089240,13.4772
85,2025-03-22 14:01:39,9,1088988,13.4740
86,2025-03-22 14:01:40,9.6,1089860,13.4848
87,2025-03-22 14:01:41,9,1089860,13.4848
88,2025-03-22 14:01:42,9,1089564,13.4812
89,2025-03-22 14:01:44,9.5,1088756,13.4712
90,2025-03-22 14:01:45,9.6,1089296,13.4778
91,2025-03-22 14:01:46,9,1090352,13.4909
92,2025-03-22 14:01:47,9,1089916,13.4855
93,2025-03-22 14:01:49,8.9,1089440,13.4796
94,2025-03-22 14:01:50,9.6,1089976,13.4863
95,2025-03-22 14:01:51,9,1089676,13.4825
96,2025-03-22 14:01:52,9.7,1089668,13.4824
97,2025-03-22 14:01:54,9,1089960,13.4861
98,2025-03-22 14:01:55,9.5,1089308,13.4780
99,2025-03-22 14:01:56,9.7,1089288,13.4777
100,2025-03-22 14:01:57,9.6,1088340,13.4660
101,2025-03-22 14:01:59,9.6,1088744,13.4710
102,2025-03-22 14:02:00,9,1089284,13.4777
103,2025-03-22 14:02:01,9.1,1089512,13.4805
104,2025-03-22 14:02:02,9.7,1088936,13.4734
105,2025-03-22 14:02:04,8.3,1087996,13.4618
106,2025-03-22 14:02:05,9.6,1088648,13.4698
107,2025-03-22 14:02:06,9,1088972,13.4738
108,2025-03-22 14:02:07,9,1088568,13.4688
109,2025-03-22 14:02:09,9,1088848,13.4723
110,2025-03-22 14:02:10,9,1088956,13.4736
111,2025-03-22 14:02:11,8.3,1089708,13.4829
112,2025-03-22 14:02:12,9.6,1088704,13.4705
113,2025-03-22 14:02:14,9.6,1088784,13.4715
114,2025-03-22 14:02:15,8.3,1089168,13.4763
115,2025-03-22 14:02:16,9.6,1088492,13.4679
116,2025-03-22 14:02:17,9,1088648,13.4698
117,2025-03-22 14:02:19,9,1088684,13.4703
118,2025-03-22 14:02:20,9,1089080,13.4752
119,2025-03-22 14:02:21,9,1089328,13.4782
120,2025-03-22 14:02:23,9,1088880,13.4727
121,2025-03-22 14:02:24,9.6,1088648,13.4698
122,2025-03-22 14:02:25,8.3,1088620,13.4695
123,2025-03-22 14:02:26,9,1088780,13.4715
124,2025-03-22 14:02:28,9,1088004,13.4619
125,2025-03-22 14:02:29,9,1088532,13.4684
126,2025-03-22 14:02:30,9.7,1090428,13.4918
127,2025-03-22 14:02:31,9,1089288,13.4777
128,2025-03-22 14:02:33,9,1089824,13.4844
129,2025-03-22 14:02:34,9,1089460,13.4799
130,2025-03-22 14:02:35,9.7,1089568,13.4812
131,2025-03-22 14:02:36,9.5,1089128,13.4758
132,2025-03-22 14:02:38,9,1088608,13.4693
133,2025-03-22 14:02:39,9.4,1088820,13.4720
134,2025-03-22 14:02:40,8.9,1089180,13.4764
135,2025-03-22 14:02:41,9,1088060,13.4626
136,2025-03-22 14:02:43,9.6,1088252,13.4649
137,2025-03-22 14:02:44,9.6,1087532,13.4560
138,2025-03-22 14:02:45,9,1087504,13.4557
139,2025-03-22 14:02:46,9,1087168,13.4515
140,2025-03-22 14:02:48,8.3,1087192,13.4518
141,2025-03-22 14:02:49,9,1087144,13.4512
142,2025-03-22 14:02:50,9.7,1086492,13.4431
143,2025-03-22 14:02:51,9,1085112,13.4261
144,2025-03-22 14:02:53,9.5,1085308,13.4285
145,2025-03-22 14:02:54,9,1085320,13.4286
146,2025-03-22 14:02:55,9,1085216,13.4274
147,2025-03-22 14:02:56,9,1084932,13.4238
148,2025-03-22 14:02:58,9,1085388,13.4295
149,2025-03-22 14:02:59,9.7,1084956,13.4241
150,2025-03-22 14:03:00,9,1084884,13.4233
151,2025-03-22 14:03:01,9.7,1084600,13.4197
152,2025-03-22 14:03:03,9.7,1084636,13.4202
153,2025-03-22 14:03:04,9,1084660,13.4205
154,2025-03-22 14:03:05,9.6,1084728,13.4213
155,2025-03-22 14:03:07,9,1084552,13.4191
156,2025-03-22 14:03:08,9.6,1085568,13.4317
157,2025-03-22 14:03:09,8.3,1086312,13.4409
158,2025-03-22 14:03:10,9.1,1085992,13.4370
159,2025-03-22 14:03:12,9.7,1085668,13.4330
160,2025-03-22 14:03:13,9.6,1086124,13.4386
161,2025-03-22 14:03:14,9.8,1086104,13.4383
162,2025-03-22 14:03:15,8.3,1087100,13.4507
163,2025-03-22 14:03:17,9,1087348,13.4537
164,2025-03-22 14:03:18,9.6,1087668,13.4577
165,2025-03-22 14:03:19,8.3,1087412,13.4545
166,2025-03-22 14:03:20,9.6,1087436,13.4548
167,2025-03-22 14:03:22,9.7,1087888,13.4604
168,2025-03-22 14:03:23,9.6,1088528,13.4683
169,2025-03-22 14:03:24,9.7,1089076,13.4751
170,2025-03-22 14:03:25,8.3,1088544,13.4685
171,2025-03-22 14:03:27,9.6,1088700,13.4705
172,2025-03-22 14:03:28,8.3,1088940,13.4734
173,2025-03-22 14:03:29,9.7,1089700,13.4828
174,2025-03-22 14:03:30,9,1088088,13.4629
175,2025-03-22 14:03:32,9.7,1088832,13.4721
176,2025-03-22 14:03:33,9,1088432,13.4672
177,2025-03-22 14:03:34,9,1087344,13.4537
178,2025-03-22 14:03:35,9.6,1087456,13.4551
179,2025-03-22 14:03:37,9,1087472,13.4553
180,2025-03-22 14:03:38,9.7,1087992,13.4617
181,2025-03-22 14:03:39,9.7,1087508,13.4557
182,2025-03-22 14:03:40,9.7,1087296,13.4531
183,2025-03-22 14:03:42,9,1086892,13.4481
184,2025-03-22 14:03:43,9,1086888,13.4480
185,2025-03-22 14:03:44,9.7,1087092,13.4506
186,2025-03-22 14:03:46,9,1086480,13.4430
187,2025-03-22 14:03:47,9.4,1087352,13.4538
188,2025-03-22 14:03:48,9.7,1087596,13.4568
189,2025-03-22 14:03:49,9.7,1088372,13.4664
190,2025-03-22 14:03:51,9,1087036,13.4499
191,2025-03-22 14:03:52,9,1086976,13.4491
192,2025-03-22 14:03:53,9,1087980,13.4616
193,2025-03-22 14:03:54,9.6,1086564,13.4440
194,2025-03-22 14:03:56,9.7,1086624,13.4448
195,2025-03-22 14:03:57,9.6,1086464,13.4428
196,2025-03-22 14:03:58,9,1087692,13.4580
197,2025-03-22 14:03:59,9,1091740,13.5081
198,2025-03-22 14:04:01,9,1092184,13.5136
199,2025-03-22 14:04:02,9.7,1094152,13.5379
200,2025-03-22 14:04:03,8.8,1093912,13.5350
201,2025-03-22 14:04:04,9,1092252,13.5144
202,2025-03-22 14:04:06,9.7,1091584,13.5062
203,2025-03-22 14:04:07,9.7,1090948,13.4983
204,2025-03-22 14:04:08,9,1090736,13.4957
205,2025-03-22 14:04:09,9,1090900,13.4977
206,2025-03-22 14:04:11,9,1091632,13.5067
207,2025-03-22 14:04:12,9.6,1091680,13.5073
208,2025-03-22 14:04:13,9,1091428,13.5042
209,2025-03-22 14:04:14,9,1091656,13.5070
210,2025-03-22 14:04:16,9,1090940,13.4982
211,2025-03-22 14:04:17,9,1090812,13.4966
212,2025-03-22 14:04:18,10.2,1089380,13.4789
213,2025-03-22 14:04:19,9.6,1090008,13.4867
214,2025-03-22 14:04:21,9,1090052,13.4872
215,2025-03-22 14:04:22,9,1089296,13.4778
216,2025-03-22 14:04:23,9,1089168,13.4763
217,2025-03-22 14:04:24,9,1088756,13.4712
218,2025-03-22 14:04:26,9,1088980,13.4739
219,2025-03-22 14:04:27,9.7,1089500,13.4804
220,2025-03-22 14:04:28,9.7,1089820,13.4843
221,2025-03-22 14:04:29,9.7,1089144,13.4760
222,2025-03-22 14:04:31,9.7,1087512,13.4558
223,2025-03-22 14:04:32,9,1088844,13.4723
224,2025-03-22 14:04:33,9,1088124,13.4633
225,2025-03-22 14:04:34,9,1088788,13.4716
226,2025-03-22 14:04:36,9.3,1088636,13.4697
227,2025-03-22 14:04:37,9,1089644,13.4821
228,2025-03-22 14:04:38,9.6,1089552,13.4810
229,2025-03-22 14:04:39,9.7,1088864,13.4725
230,2025-03-22 14:04:41,9,1088536,13.4684
231,2025-03-22 14:04:42,9.7,1089036,13.4746
232,2025-03-22 14:04:43,9.6,1088852,13.4723
233,2025-03-22 14:04:45,10.4,1088880,13.4727
234,2025-03-22 14:04:46,9,1089204,13.4767
235,2025-03-22 14:04:47,9,1089016,13.4744
236,2025-03-22 14:04:48,9,1089484,13.4802
237,2025-03-22 14:04:50,9,1089004,13.4742
238,2025-03-22 14:04:51,9.6,1088720,13.4707
239,2025-03-22 14:04:52,9,1088420,13.4670
240,2025-03-22 14:04:53,8.3,1088216,13.4645
241,2025-03-22 14:04:55,8.3,1088528,13.4683
242,2025-03-22 14:04:56,9,1088292,13.4654
243,2025-03-22 14:04:57,9,1088752,13.4711
244,2025-03-22 14:04:58,9,1088360,13.4663
245,2025-03-22 14:05:00,9.8,1087976,13.4615
246,2025-03-22 14:05:01,9,1088072,13.4627
247,2025-03-22 14:05:02,9,1088908,13.4730
248,2025-03-22 14:05:03,9,1088336,13.4660
249,2025-03-22 14:05:05,9.7,1088612,13.4694
250,2025-03-22 14:05:06,9,1089112,13.4756
251,2025-03-22 14:05:07,9,1089344,13.4784
252,2025-03-22 14:05:08,9,1088672,13.4701
253,2025-03-22 14:05:10,9.8,1089776,13.4838
254,2025-03-22 14:05:11,9.7,1089376,13.4788
255,2025-03-22 14:05:12,9,1089364,13.4787
256,2025-03-22 14:05:13,9.7,1091268,13.5022
257,2025-03-22 14:05:15,9.7,1091052,13.4996
258,2025-03-22 14:05:16,9.7,1093412,13.5288
259,2025-03-22 14:05:17,9.7,1092796,13.5211
260,2025-03-22 14:05:18,9,1090768,13.4961
261,2025-03-22 14:05:20,9.6,1091036,13.4994
262,2025-03-22 14:05:21,9.6,1090648,13.4946
263,2025-03-22 14:05:22,8.4,1090556,13.4934
264,2025-03-22 14:05:23,9,1091544,13.5057
265,2025-03-22 14:05:25,10.3,1091272,13.5023
266,2025-03-22 14:05:26,9.7,1091344,13.5032
267,2025-03-22 14:05:27,9.7,1090560,13.4935
268,2025-03-22 14:05:28,9.7,1090304,13.4903
269,2025-03-22 14:05:30,8.3,1092092,13.5124
270,2025-03-22 14:05:31,9.7,1092108,13.5126
271,2025-03-22 14:05:32,9,1092132,13.5129
272,2025-03-22 14:05:33,9.6,1091844,13.5094
273,2025-03-22 14:05:35,9,1091048,13.4995
274,2025-03-22 14:05:36,9.8,1091416,13.5041
275,2025-03-22 14:05:37,9,1092036,13.5117
276,2025-03-22 14:05:38,9.1,1091900,13.5101
277,2025-03-22 14:05:40,9,1092212,13.5139
278,2025-03-22 14:05:41,9,1091928,13.5104
279,2025-03-22 14:05:42,9,1091924,13.5104
280,2025-03-22 14:05:43,9,1090712,13.4954
281,2025-03-22 14:05:45,9,1091252,13.5020
282,2025-03-22 14:05:46,9.6,1092544,13.5180
283,2025-03-22 14:05:47,9.7,1091868,13.5097
284,2025-03-22 14:05:49,9.6,1092048,13.5119
285,2025-03-22 14:05:50,9,1092756,13.5207
286,2025-03-22 14:05:51,9,1093264,13.5269
287,2025-03-22 14:05:52,9,1091748,13.5082
288,2025-03-22 14:05:54,9.7,1091464,13.5047
289,2025-03-22 14:05:55,9.6,1091836,13.5093
290,2025-03-22 14:05:56,9.5,1091880,13.5098
291,2025-03-22 14:05:57,9.6,1092184,13.5136
292,2025-03-22 14:05:59,9.5,1091944,13.5106
293,2025-03-22 14:06:00,9.7,1091748,13.5082
294,2025-03-22 14:06:01,9.6,1092964,13.5232
295,2025-03-22 14:06:02,8.9,1091308,13.5027
296,2025-03-22 14:06:04,9,1091512,13.5053
297,2025-03-22 14:06:05,9,1091608,13.5064
298,2025-03-22 14:06:06,9.6,1091648,13.5069
299,2025-03-22 14:06:07,9.7,1091580,13.5061
300,2025-03-22 14:06:09,9,1090944,13.4982
301,2025-03-22 14:06:10,9.7,1091540,13.5056
302,2025-03-22 14:06:11,9.7,1091092,13.5001
303,2025-03-22 14:06:12,9.5,1090952,13.4983
304,2025-03-22 14:06:14,9.4,1091324,13.5029
305,2025-03-22 14:06:15,9,1091312,13.5028
306,2025-03-22 14:06:16,8.3,1090756,13.4959
307,2025-03-22 14:06:17,9,1092024,13.5116
308,2025-03-22 14:06:19,9,1091432,13.5043
309,2025-03-22 14:06:20,10.4,1091176,13.5011
310,2025-03-22 14:06:21,9.6,1091212,13.5015
311,2025-03-22 14:06:22,9.7,1090440,13.4920
312,2025-03-22 14:06:24,9.7,1091524,13.5054
313,2025-03-22 14:06:25,9,1091612,13.5065
314,2025-03-22 14:06:26,9.4,1090908,13.4978
315,2025-03-22 14:06:27,9,1090588,13.4938
316,2025-03-22 14:06:29,9.5,1090792,13.4964
317,2025-03-22 14:06:30,8.9,1091044,13.4995
318,2025-03-22 14:06:31,9.7,1090840,13.4969
319,2025-03-22 14:06:32,9,1091004,13.4990
320,2025-03-22 14:06:34,9,1090712,13.4954
321,2025-03-22 14:06:35,9.7,1091436,13.5043
322,2025-03-22 14:06:36,9,1091024,13.4992
323,2025-03-22 14:06:37,9,1090892,13.4976
324,2025-03-22 14:06:39,9,1090816,13.4967
325,2025-03-22 14:06:40,9.6,1090480,13.4925
326,2025-03-22 14:06:41,9.6,1090964,13.4985
327,2025-03-22 14:06:43,9,1090620,13.4942
328,2025-03-22 14:06:44,9.6,1090356,13.4910
329,2025-03-22 14:06:45,9,1089992,13.4865
330,2025-03-22 14:06:46,9.5,1089980,13.4863
331,2025-03-22 14:06:48,9.6,1090572,13.4936
332,2025-03-22 14:06:49,8.3,1091464,13.5047
333,2025-03-22 14:06:50,9,1091504,13.5052
334,2025-03-22 14:06:51,9,1091172,13.5011
335,2025-03-22 14:06:53,9.7,1090680,13.4950
336,2025-03-22 14:06:54,9.6,1091136,13.5006
337,2025-03-22 14:06:55,9.6,1091216,13.5016
338,2025-03-22 14:06:56,9.6,1090176,13.4887
339,2025-03-22 14:06:58,9,1090700,13.4952
340,2025-03-22 14:06:59,8.3,1091072,13.4998
341,2025-03-22 14:07:00,9,1090752,13.4959
342,2025-03-22 14:07:01,9,1089352,13.4785
343,2025-03-22 14:07:03,9.1,1089664,13.4824
344,2025-03-22 14:07:04,9,1090400,13.4915
345,2025-03-22 14:07:05,9.6,1090240,13.4895
346,2025-03-22 14:07:06,9.6,1090164,13.4886
347,2025-03-22 14:07:08,9.8,1090896,13.4976
348,2025-03-22 14:07:09,9,1090620,13.4942
349,2025-03-22 14:07:10,9.7,1090856,13.4971
350,2025-03-22 14:07:11,9.7,1090816,13.4967
351,2025-03-22 14:07:13,9.7,1090616,13.4942
352,2025-03-22 14:07:14,9.7,1090292,13.4902
353,2025-03-22 14:07:15,9,1090308,13.4904
354,2025-03-22 14:07:16,8.9,1090996,13.4989
355,2025-03-22 14:07:18,9.6,1090652,13.4946
356,2025-03-22 14:07:19,9.6,1091680,13.5073
357,2025-03-22 14:07:20,9.4,1091668,13.5072
358,2025-03-22 14:07:22,9.7,1091204,13.5015
359,2025-03-22 14:07:23,9.7,1090572,13.4936
360,2025-03-22 14:07:24,9,1090524,13.4930
361,2025-03-22 14:07:25,8.3,1091524,13.5054
