timestamp,load,threads,total_threads,events_seconds,total_time,latency_min,latency_avg,latency_max,latency_95th,latency_sum,events_avg,events_stddev,execution_time_avg,execution_time_stddev
2025-03-14 22:47:21.005,25000,1,12,745.84,33.5171,1.28,1.34,10.55,1.64,33500.81,25000.0,0.0,33.5008,0.0
2025-03-14 22:50:14.453,50000,1,12,288.41,173.3607,3.32,3.47,13.44,4.03,173316.49,50000.0,0.0,173.3165,0.0
2025-03-14 22:57:48.902,75000,1,12,165.06,454.3668,5.82,6.06,20.21,7.04,454295.18,75000.0,0.0,454.2952,0.0
2025-03-14 22:58:05.317,25000,2,12,1530.38,16.3345,1.28,1.31,10.49,1.34,32654.55,12500.0,2.0,16.3273,0.0
2025-03-14 22:59:29.699,50000,2,12,593.09,84.3033,3.32,3.37,12.85,3.43,168566.63,25000.0,9.0,84.2833,0.0
2025-03-14 23:03:10.612,75000,2,12,339.62,220.8349,5.82,5.89,19.02,5.99,441599.27,37500.0,2.0,220.7996,0.0
2025-03-14 23:03:18.865,25000,4,12,3057.0,8.1765,1.28,1.31,10.22,1.34,32690.59,6250.0,7.18,8.1726,0.0
2025-03-14 23:04:01.198,50000,4,12,1183.2,42.2566,3.32,3.38,20.56,3.43,168989.25,12500.0,16.29,42.2473,0.0
2025-03-14 23:05:51.819,75000,4,12,678.44,110.5453,5.82,5.89,19.58,6.09,442118.3,18750.0,8.83,110.5296,0.0
2025-03-14 23:05:57.745,25000,6,12,4272.46,5.85,1.28,1.4,10.4,1.67,35080.29,4166.6667,37.49,5.8467,0.0
2025-03-14 23:06:28.114,50000,6,12,1650.47,30.2931,3.32,3.63,13.92,4.33,181713.21,8333.3333,53.65,30.2855,0.0
2025-03-14 23:07:47.840,75000,6,12,941.67,79.6439,5.82,6.37,23.62,7.56,477778.69,12500.0,79.65,79.6298,0.0
2025-03-14 23:07:51.511,25000,12,12,6963.29,3.5887,1.28,1.72,12.57,2.66,43022.91,2083.3333,45.55,3.5852,0.0
2025-03-14 23:08:10.139,50000,12,12,2694.15,18.5573,3.33,4.45,19.23,7.17,222575.11,4166.6667,47.23,18.5479,0.0
2025-03-14 23:08:59.861,75000,12,12,1510.74,49.6432,5.83,7.94,28.74,12.75,595587.69,6250.0,39.8,49.6323,0.0
