ID,Timestamp,%CPU (global),Capacidad de memoria utilizada,% Memoria utilizada
0,2025-03-14 23:08:10,99,1076600,13.3207
1,2025-03-14 23:08:11,98,1077900,13.3368
2,2025-03-14 23:08:12,93,1077356,13.3300
3,2025-03-14 23:08:14,94,1079168,13.3525
4,2025-03-14 23:08:15,94,1078252,13.3411
5,2025-03-14 23:08:17,94,1078428,13.3433
6,2025-03-14 23:08:18,93,1077636,13.3335
7,2025-03-14 23:08:19,94,1077712,13.3344
8,2025-03-14 23:08:21,99,1078252,13.3411
9,2025-03-14 23:08:22,93,1078256,13.3412
10,2025-03-14 23:08:23,99,1076544,13.3200
11,2025-03-14 23:08:25,94,1076480,13.3192
12,2025-03-14 23:08:26,97,1077304,13.3294
13,2025-03-14 23:08:28,93,1077852,13.3362
14,2025-03-14 23:08:29,94,1077396,13.3305
15,2025-03-14 23:08:30,99,1077132,13.3273
16,2025-03-14 23:08:32,94,1077604,13.3331
17,2025-03-14 23:08:33,94,1077632,13.3335
18,2025-03-14 23:08:34,94,1077816,13.3357
19,2025-03-14 23:08:36,94,1077300,13.3294
20,2025-03-14 23:08:37,94,1077376,13.3303
21,2025-03-14 23:08:39,99,1076784,13.3230
22,2025-03-14 23:08:40,94,1076828,13.3235
23,2025-03-14 23:08:41,98,1076924,13.3247
24,2025-03-14 23:08:43,94,1077720,13.3345
25,2025-03-14 23:08:44,94,1078804,13.3480
26,2025-03-14 23:08:46,99,1077324,13.3296
27,2025-03-14 23:08:47,98,1077208,13.3282
28,2025-03-14 23:08:48,94,1077216,13.3283
29,2025-03-14 23:08:50,99,1078864,13.3487
30,2025-03-14 23:08:51,99,1078796,13.3479
31,2025-03-14 23:08:53,97,1078104,13.3393
32,2025-03-14 23:08:54,94,1076500,13.3195
33,2025-03-14 23:08:55,98,1077940,13.3373
34,2025-03-14 23:08:57,94,1075204,13.3034
35,2025-03-14 23:08:58,100,1075724,13.3099
