timestamp,load,threads,total_threads,events_seconds,total_time,latency_min,latency_avg,latency_max,latency_95th,latency_sum,events_avg,events_stddev,execution_time_avg,execution_time_stddev
2025-03-29 00:16:35.015,12500,12,12,12190.59,1.0228,0.68,0.98,36.79,1.52,12224.71,1041.6667,37.92,1.0187,0.0
2025-03-29 00:16:40.372,25000,12,12,4770.59,5.2379,1.86,2.51,14.69,3.96,62797.81,2083.3333,70.14,5.2332,0.0
2025-03-29 00:16:53.881,37500,12,12,2802.11,13.3805,3.27,4.28,21.88,6.91,160446.37,3125.0,43.45,13.3705,0.0
2025-03-29 00:17:20.624,50000,12,12,1878.29,26.6181,5.09,6.39,35.14,10.27,319305.49,4166.6667,26.55,26.6088,0.0
2025-03-29 00:18:05.726,62500,12,12,1389.15,44.9894,6.61,8.63,30.93,13.95,539686.97,5208.3333,57.56,44.9739,0.0
2025-03-29 00:19:14.765,75000,12,12,1088.11,68.9248,8.5,11.03,34.55,17.32,826913.84,6250.0,46.15,68.9095,0.0
2025-03-29 01:01:02.703,12500,12,12,17198.22,0.7251,0.49,0.69,22.37,1.12,8659.44,1041.6667,64.48,0.7216,0.0
2025-03-29 01:01:06.523,25000,12,12,6673.18,3.7444,1.28,1.8,16.28,2.97,44876.55,2083.3333,50.94,3.7397,0.0
2025-03-29 01:01:16.441,37500,12,12,3813.63,9.8315,2.24,3.14,16.82,5.18,117920.58,3125.0,26.32,9.8267,0.0
2025-03-29 01:01:35.874,50000,12,12,2582.57,19.359,3.33,4.64,31.19,7.7,232209.95,4166.6667,63.74,19.3508,0.0
2025-03-29 01:02:08.928,62500,12,12,1894.89,32.9819,4.53,6.33,23.18,10.46,395673.44,5208.3333,62.18,32.9728,0.0
2025-03-29 01:02:59.804,75000,12,12,1476.28,50.8019,5.83,8.13,29.82,13.22,609495.17,6250.0,58.42,50.7913,0.0
2025-03-29 01:44:27.187,12500,12,12,17283.71,0.7215,0.49,0.69,18.76,1.1,8594.33,1041.6667,69.62,0.7162,0.01
2025-03-29 01:44:30.973,25000,12,12,6742.6,3.706,1.28,1.78,11.53,2.91,44434.88,2083.3333,98.95,3.7029,0.0
2025-03-29 01:44:40.726,37500,12,12,3876.11,9.6727,2.24,3.09,14.0,5.18,116002.79,3125.0,52.87,9.6669,0.0
2025-03-29 01:45:00.017,50000,12,12,2601.65,19.2169,3.33,4.61,16.66,7.7,230521.79,4166.6667,44.3,19.2101,0.0
2025-03-29 01:45:32.279,62500,12,12,1942.27,32.1775,4.53,6.18,43.04,9.73,385994.28,5208.3333,97.88,32.1662,0.0
2025-03-29 01:46:24.482,75000,12,12,1439.16,52.1121,5.83,8.34,61.31,10.27,625187.3,6250.0,281.88,52.0989,0.0
2025-03-29 02:27:48.361,12500,12,12,16855.7,0.7399,0.49,0.71,44.8,0.74,8831.03,1041.6667,65.3,0.7359,0.0
2025-03-29 02:27:52.053,25000,12,12,6930.32,3.6056,1.28,1.73,17.4,1.82,43223.59,2083.3333,101.72,3.602,0.0
2025-03-29 02:28:01.425,37500,12,12,4047.72,9.2628,2.24,2.96,16.24,3.19,111089.31,3125.0,127.4,9.2574,0.0
2025-03-29 02:28:20.162,50000,12,12,2680.92,18.6485,3.33,4.47,39.54,5.18,223686.13,4166.6667,159.67,18.6405,0.0
2025-03-29 02:28:53.422,62500,12,12,1884.8,33.1585,4.53,6.36,32.14,7.7,397787.69,5208.3333,229.09,33.149,0.0
2025-03-29 02:29:43.833,75000,12,12,1490.29,50.3243,6.22,8.05,42.76,9.91,603744.35,6250.0,341.31,50.312,0.0
2025-03-29 03:11:09.799,12500,12,12,15863.58,0.7862,0.49,0.75,12.05,1.16,9320.68,1041.6667,72.52,0.7767,0.01
2025-03-29 03:11:13.589,25000,12,12,6736.62,3.7094,1.28,1.78,12.66,2.91,44457.54,2083.3333,39.66,3.7048,0.0
2025-03-29 03:11:23.412,37500,12,12,3850.17,9.738,2.24,3.11,19.64,5.09,116763.24,3125.0,39.47,9.7303,0.0
2025-03-29 03:11:42.025,50000,12,12,2697.46,18.5345,3.33,4.45,24.28,5.18,222327.01,4166.6667,107.81,18.5273,0.0
2025-03-29 03:12:13.832,62500,12,12,1969.51,31.7324,4.53,6.09,82.83,7.7,380667.02,5208.3333,99.25,31.7223,0.0
2025-03-29 03:13:05.334,75000,12,12,1458.58,51.4186,5.83,8.23,38.21,9.73,616878.97,6250.0,206.26,51.4066,0.0
2025-03-28 23:32:09.135,12500,1,12,1883.42,6.6354,0.49,0.53,8.73,0.67,6628.56,12500.0,0.0,6.6286,0.0
2025-03-28 23:32:42.911,25000,1,12,741.9,33.696,1.28,1.35,10.62,1.64,33678.91,25000.0,0.0,33.6789,0.0
2025-03-28 23:34:11.132,37500,1,12,425.42,88.1471,2.24,2.35,12.66,2.81,88117.48,37500.0,0.0,88.1175,0.0
2025-03-28 23:37:06.601,50000,1,12,285.08,175.386,3.32,3.51,35.53,4.41,175340.14,50000.0,0.0,175.3401,0.0
2025-03-28 23:42:04.166,62500,1,12,210.1,297.4695,4.53,4.76,25.12,5.67,297410.26,62500.0,0.0,297.4103,0.0
2025-03-28 23:49:50.423,75000,1,12,160.88,466.1758,5.82,6.21,22.57,8.28,466090.09,75000.0,0.0,466.0901,0.0
