ID,Timestamp,%CPU (global),Capacidad de memoria utilizada,% Memoria utilizada
0,2025-03-29 00:55:56,52.3,995484,12.3170
1,2025-03-29 00:55:57,51.7,995092,12.3122
2,2025-03-29 00:55:59,51,995048,12.3116
3,2025-03-29 00:56:00,51.1,994116,12.3001
4,2025-03-29 00:56:01,51.4,994008,12.2988
5,2025-03-29 00:56:03,51.4,994276,12.3021
6,2025-03-29 00:56:04,52,994552,12.3055
7,2025-03-29 00:56:05,52,994756,12.3080
8,2025-03-29 00:56:06,52,994488,12.3047
9,2025-03-29 00:56:08,51,995492,12.3171
10,2025-03-29 00:56:09,52,995960,12.3229
11,2025-03-29 00:56:10,50.7,995956,12.3229
12,2025-03-29 00:56:12,51.7,996404,12.3284
13,2025-03-29 00:56:13,52.3,996484,12.3294
14,2025-03-29 00:56:14,51.7,997128,12.3374
15,2025-03-29 00:56:16,52,996308,12.3272
16,2025-03-29 00:56:17,52,997076,12.3367
17,2025-03-29 00:56:18,51.7,996832,12.3337
18,2025-03-29 00:56:19,51.7,996724,12.3324
19,2025-03-29 00:56:21,52,996976,12.3355
20,2025-03-29 00:56:22,50.7,996512,12.3298
21,2025-03-29 00:56:23,52,996260,12.3266
22,2025-03-29 00:56:25,52,998544,12.3549
23,2025-03-29 00:56:26,51.7,998248,12.3512
