ID,Timestamp,%CPU (global),Capacidad de memoria utilizada,% Memoria utilizada
0,2025-03-23 09:30:57,50.6,1980976,12.3807
1,2025-03-23 09:30:58,52.3,1981448,12.3837
2,2025-03-23 09:30:59,51.7,1981300,12.3827
3,2025-03-23 09:31:01,51.7,1981188,12.3820
4,2025-03-23 09:31:02,51.2,1983200,12.3946
5,2025-03-23 09:31:03,51.2,1983452,12.3962
6,2025-03-23 09:31:04,50.6,1983444,12.3961
7,2025-03-23 09:31:06,50.6,1983440,12.3961
8,2025-03-23 09:31:07,50.6,1983664,12.3975
9,2025-03-23 09:31:08,50.6,1983412,12.3959
10,2025-03-23 09:31:09,52.9,1983412,12.3959
11,2025-03-23 09:31:11,51.1,1983152,12.3943
12,2025-03-23 09:31:12,51.2,1983152,12.3943
13,2025-03-23 09:31:13,51.2,1983152,12.3943
14,2025-03-23 09:31:14,51.1,1983404,12.3959
15,2025-03-23 09:31:16,50.6,1983404,12.3959
16,2025-03-23 09:31:17,50.6,1983396,12.3958
17,2025-03-23 09:31:18,50.6,1983396,12.3958
