timestamp,load,threads,total_threads,events_seconds,total_time,latency_min,latency_avg,latency_max,latency_95th,latency_sum,events_avg,events_stddev,execution_time_avg,execution_time_stddev
2025-03-29 02:31:13.817,12500,12,8,4299.41,2.9056,1.79,2.79,12.8,5.88,34841.96,1041.6667,187.09,2.9035,0.0
2025-03-29 02:31:28.817,25000,12,8,1671.91,14.9513,4.43,7.17,24.8,12.75,179365.59,2083.3333,100.43,14.9471,0.0
2025-03-29 02:32:07.933,37500,12,8,959.82,39.0681,7.89,12.5,38.37,19.29,468728.13,3125.0,76.35,39.0607,0.0
2025-03-29 02:33:25.242,50000,12,8,647.15,77.26,11.13,18.54,47.41,27.66,927002.31,4166.6667,77.0,77.2502,0.0
2025-03-29 02:35:36.540,62500,12,8,476.18,131.2498,16.02,25.2,63.87,36.89,1574883.47,5208.3333,69.82,131.2403,0.01
2025-03-29 02:39:00.170,75000,12,8,368.4,203.5825,20.45,32.57,81.67,46.63,2442826.4,6250.0,79.77,203.5689,0.01
2025-03-29 04:10:39.446,12500,12,8,4299.04,2.9059,1.76,2.79,15.8,5.88,34853.5,1041.6667,58.35,2.9045,0.0
2025-03-29 04:10:54.461,25000,12,8,1670.35,14.9653,4.36,7.18,25.82,12.52,179523.73,2083.3333,127.38,14.9603,0.0
2025-03-29 04:11:33.593,37500,12,8,959.44,39.0838,7.62,12.5,35.21,19.29,468918.75,3125.0,81.18,39.0766,0.0
2025-03-29 04:12:50.922,50000,12,8,646.98,77.2804,11.61,18.55,47.29,27.66,927255.92,4166.6667,45.74,77.2713,0.0
2025-03-29 04:15:02.352,62500,12,8,475.7,131.3825,16.21,25.22,61.88,36.24,1576485.95,5208.3333,78.02,131.3738,0.0
2025-03-29 04:18:24.991,75000,12,8,370.2,202.5897,19.38,32.41,83.58,46.63,2430892.94,6250.0,69.51,202.5744,0.01
2025-03-29 05:50:01.226,12500,12,8,4297.54,2.9069,1.75,2.79,15.88,5.88,34850.85,1041.6667,101.88,2.9042,0.0
2025-03-29 05:50:16.254,25000,12,8,1668.85,14.9788,4.61,7.19,27.81,12.75,179691.42,2083.3333,128.44,14.9743,0.0
2025-03-29 05:50:55.378,37500,12,8,959.64,39.0755,8.01,12.5,40.65,19.29,468841.15,3125.0,57.06,39.0701,0.0
2025-03-29 05:52:12.707,50000,12,8,647.33,77.2389,10.22,18.54,58.65,27.66,926756.45,4166.6667,51.23,77.2297,0.01
2025-03-29 05:54:24.164,62500,12,8,475.61,131.4092,15.16,25.23,72.27,36.89,1576743.73,5208.3333,74.84,131.3953,0.01
2025-03-29 05:57:46.842,75000,12,8,370.13,202.63,20.82,32.42,74.78,46.63,2431431.83,6250.0,75.03,202.6193,0.0
2025-03-29 07:29:28.569,12500,12,8,4302.97,2.9032,1.75,2.78,11.87,5.88,34810.98,1041.6667,165.81,2.9009,0.0
2025-03-29 07:29:43.568,25000,12,8,1672.02,14.9504,4.37,7.17,25.8,12.75,179351.23,2083.3333,83.42,14.9459,0.0
2025-03-29 07:30:22.716,37500,12,8,959.05,39.0994,7.8,12.51,34.36,19.29,469111.78,3125.0,64.37,39.0926,0.0
2025-03-29 07:31:40.006,50000,12,8,647.3,77.2416,10.65,18.54,68.95,27.66,926766.67,4166.6667,85.71,77.2306,0.01
2025-03-29 07:33:51.317,62500,12,8,476.14,131.2625,15.8,25.2,59.88,36.89,1575007.3,5208.3333,63.1,131.2506,0.01
2025-03-29 07:37:13.939,75000,12,8,370.23,202.5731,19.66,32.41,75.7,46.63,2430702.6,6250.0,73.65,202.5586,0.01
2025-03-29 09:08:43.695,12500,12,8,4293.61,2.9095,1.41,2.79,12.8,5.88,34883.22,1041.6667,139.43,2.9069,0.0
2025-03-29 09:08:58.707,25000,12,8,1670.48,14.9642,4.56,7.18,22.82,12.75,179516.43,2083.3333,115.37,14.9597,0.0
2025-03-29 09:09:37.846,37500,12,8,959.29,39.09,7.82,12.51,35.36,19.29,468992.0,3125.0,98.77,39.0827,0.0
2025-03-29 09:10:55.221,50000,12,8,646.59,77.3267,11.0,18.56,47.4,27.66,927818.52,4166.6667,93.55,77.3182,0.0
2025-03-29 09:13:06.668,62500,12,8,475.64,131.3993,16.05,25.23,60.87,36.89,1576637.47,5208.3333,112.29,131.3865,0.01
2025-03-29 09:16:29.448,75000,12,8,369.95,202.7304,20.7,32.43,80.69,46.63,2432604.01,6250.0,103.74,202.717,0.01
2025-03-29 00:59:49.260,12500,1,8,1053.91,11.8594,0.92,0.95,3.16,0.99,11857.21,12500.0,0.0,11.8572,0.0
2025-03-29 01:00:50.880,25000,1,8,405.96,61.5818,2.36,2.46,3.72,2.57,61577.02,25000.0,0.0,61.577,0.0
2025-03-29 01:03:35.729,37500,1,8,227.53,164.8107,4.21,4.39,6.24,4.49,164802.98,37500.0,0.0,164.803,0.0
2025-03-29 01:08:57.601,50000,1,8,155.36,321.8326,6.12,6.44,10.98,6.67,321821.72,50000.0,0.0,321.8217,0.0
2025-03-29 01:17:58.107,62500,1,8,115.64,540.4672,8.33,8.65,12.16,9.06,540452.12,62500.0,0.0,540.4521,0.0
2025-03-29 01:31:59.837,75000,1,8,89.11,841.6942,10.71,11.22,16.11,11.65,841675.08,75000.0,0.0,841.6751,0.0
2025-03-29 02:39:12.313,12500,1,8,1032.94,12.1001,0.94,0.97,3.05,1.01,12098.02,12500.0,0.0,12.098,0.0
2025-03-29 02:40:14.354,25000,1,8,403.25,61.9957,2.36,2.48,3.19,2.57,61991.29,25000.0,0.0,61.9913,0.0
2025-03-29 02:42:56.307,37500,1,8,231.6,161.9173,4.13,4.32,5.27,4.49,161909.85,37500.0,0.0,161.9098,0.0
2025-03-29 02:48:18.255,50000,1,8,155.32,321.9119,6.13,6.44,7.92,6.67,321901.46,50000.0,0.0,321.9015,0.0
2025-03-29 02:57:21.483,62500,1,8,115.06,543.1915,8.33,8.69,12.16,9.06,543174.9,62500.0,0.0,543.1749,0.0
2025-03-29 03:11:22.508,75000,1,8,89.18,840.9879,10.71,11.21,14.24,11.65,840968.28,75000.0,0.0,840.9683,0.0
2025-03-29 04:18:37.166,12500,1,8,1030.2,12.1323,0.92,0.97,1.76,1.01,12130.32,12500.0,0.0,12.1303,0.0
2025-03-29 04:19:38.748,25000,1,8,406.6,61.4849,2.42,2.46,5.53,2.57,61480.35,25000.0,0.0,61.4803,0.0
2025-03-29 04:22:18.983,37500,1,8,234.13,160.1681,4.13,4.27,12.89,4.49,160160.62,37500.0,0.0,160.1606,0.0
2025-03-29 04:27:38.164,50000,1,8,156.67,319.145,6.12,6.38,7.84,6.67,319134.41,50000.0,0.0,319.1344,0.0
2025-03-29 04:36:42.715,62500,1,8,114.78,544.5155,8.33,8.71,12.02,9.06,544499.5,62500.0,0.0,544.4995,0.0
2025-03-29 04:50:47.334,75000,1,8,88.8,844.5822,10.71,11.26,14.22,11.65,844564.4,75000.0,0.0,844.5644,0.0
2025-03-29 05:57:58.949,12500,1,8,1036.08,12.0634,0.94,0.96,1.52,1.01,12061.35,12500.0,0.0,12.0613,0.0
2025-03-29 05:59:00.297,25000,1,8,407.74,61.3122,2.42,2.45,3.39,2.57,61307.95,25000.0,0.0,61.308,0.0
2025-03-29 06:01:40.372,37500,1,8,234.32,160.0388,4.13,4.27,6.04,4.49,160031.53,37500.0,0.0,160.0315,0.0
2025-03-29 06:06:57.715,50000,1,8,157.58,317.3065,6.12,6.35,9.4,6.67,317295.7,50000.0,0.0,317.2957,0.0
2025-03-29 06:16:01.617,62500,1,8,114.92,543.8653,8.33,8.7,12.03,9.06,543849.69,62500.0,0.0,543.8497,0.0
2025-03-29 06:30:06.842,75000,1,8,88.74,845.188,10.71,11.27,14.08,11.65,845169.86,75000.0,0.0,845.1699,0.0
2025-03-29 07:37:25.917,12500,1,8,1047.26,11.9347,0.94,0.95,1.67,1.01,11932.76,12500.0,0.0,11.9328,0.0
2025-03-29 07:38:27.206,25000,1,8,408.14,61.2529,2.37,2.45,3.34,2.57,61248.7,25000.0,0.0,61.2487,0.0
2025-03-29 07:41:07.219,37500,1,8,234.41,159.9769,4.12,4.27,7.29,4.49,159969.52,37500.0,0.0,159.9695,0.0
2025-03-29 07:46:29.145,50000,1,8,155.33,321.8881,6.27,6.44,7.94,6.67,321877.63,50000.0,0.0,321.8776,0.0
2025-03-29 07:55:34.881,62500,1,8,114.53,545.7007,8.33,8.73,10.63,9.06,545686.41,62500.0,0.0,545.6864,0.0
2025-03-29 08:09:31.765,75000,1,8,89.62,836.8481,10.71,11.16,14.28,11.65,836828.46,75000.0,0.0,836.8285,0.0
2025-03-29 01:32:06.117,12500,2,8,2001.99,6.2426,0.96,1.0,1.54,1.01,12482.83,6250.0,2.0,6.2414,0.0
2025-03-29 01:32:39.738,25000,2,8,744.38,33.5836,2.48,2.69,3.56,2.76,67161.4,12500.0,3.0,33.5807,0.0
2025-03-29 01:34:09.012,37500,2,8,420.22,89.2372,4.67,4.76,6.37,4.82,178463.12,18750.0,2.0,89.2316,0.0
2025-03-29 01:37:05.856,50000,2,8,282.79,176.8054,6.93,7.07,17.77,7.17,353598.88,25000.0,7.0,176.7994,0.0
2025-03-29 01:42:05.722,62500,2,8,208.45,299.8294,9.43,9.59,10.67,9.73,599641.3,31250.0,1.0,299.8206,0.0
2025-03-29 01:49:48.727,75000,2,8,162.0,462.9666,12.12,12.35,16.13,12.52,925912.05,37500.0,10.0,462.956,0.0
2025-03-29 03:11:28.635,12500,2,8,2052.02,6.0903,0.96,0.97,1.55,1.01,12178.29,6250.0,3.0,6.0891,0.0
2025-03-29 03:12:02.631,25000,2,8,736.34,33.9504,2.54,2.72,3.36,2.76,67894.7,12500.0,0.0,33.9474,0.0
2025-03-29 03:13:32.209,37500,2,8,418.8,89.5399,4.67,4.78,6.27,4.82,179069.67,18750.0,1.0,89.5348,0.0
2025-03-29 03:16:28.322,50000,2,8,283.97,176.0747,6.93,7.04,9.54,7.17,352138.92,25000.0,5.0,176.0695,0.0
2025-03-29 03:21:28.423,62500,2,8,208.29,300.0633,9.43,9.6,13.01,9.73,600101.96,31250.0,7.0,300.051,0.0
2025-03-29 03:29:12.213,75000,2,8,161.72,463.7518,12.13,12.37,16.18,12.52,927485.02,37500.0,3.0,463.7425,0.0
2025-03-29 04:50:53.611,12500,2,8,2002.64,6.2406,0.96,1.0,1.53,1.01,12478.02,6250.0,0.0,6.239,0.0
2025-03-29 04:51:27.488,25000,2,8,738.74,33.8402,2.48,2.71,5.48,2.76,67674.73,12500.0,1.0,33.8374,0.0
2025-03-29 04:52:57.087,37500,2,8,418.7,89.5614,4.67,4.78,6.39,4.82,179111.91,18750.0,5.0,89.556,0.0
2025-03-29 04:55:52.738,50000,2,8,284.71,175.6139,6.93,7.02,10.13,7.17,351212.3,25000.0,8.0,175.6061,0.0
2025-03-29 05:00:52.825,62500,2,8,208.3,300.0498,9.43,9.6,12.98,9.73,600075.01,31250.0,8.0,300.0375,0.0
2025-03-29 05:08:35.496,75000,2,8,162.12,462.6323,12.13,12.34,16.0,12.52,925244.42,37500.0,6.0,462.6222,0.0
2025-03-29 06:30:13.122,12500,2,8,2001.61,6.2437,0.98,1.0,1.32,1.01,12484.57,6250.0,1.0,6.2423,0.0
2025-03-29 06:30:46.955,25000,2,8,739.71,33.7959,2.54,2.7,3.44,2.76,67585.58,12500.0,3.0,33.7928,0.0
2025-03-29 06:32:16.597,37500,2,8,418.5,89.6038,4.67,4.78,7.56,4.82,179197.38,18750.0,10.0,89.5987,0.0
2025-03-29 06:35:13.344,50000,2,8,283.04,176.6493,6.93,7.07,9.22,7.17,353285.72,25000.0,6.0,176.6429,0.0
2025-03-29 06:40:21.032,62500,2,8,203.17,307.6213,8.99,9.84,21.21,11.65,615216.99,31250.0,3.0,307.6085,0.0
2025-03-29 06:48:04.017,75000,2,8,162.0,462.9475,12.12,12.34,15.24,12.52,925870.74,37500.0,5.0,462.9354,0.0
2025-03-29 08:09:37.996,12500,2,8,2017.6,6.1943,0.96,0.99,1.55,1.01,12385.24,6250.0,2.0,6.1926,0.0
2025-03-29 08:10:11.951,25000,2,8,737.24,33.9089,2.54,2.71,3.75,2.76,67811.45,12500.0,3.0,33.9057,0.0
2025-03-29 08:11:41.381,37500,2,8,419.49,89.3924,4.67,4.77,6.48,4.82,178774.21,18750.0,4.0,89.3871,0.0
2025-03-29 08:14:37.694,50000,2,8,283.65,176.2742,6.93,7.05,9.89,7.17,352534.6,25000.0,1.0,176.2673,0.0
2025-03-29 08:19:37.993,62500,2,8,208.15,300.2613,9.43,9.61,12.98,9.73,600506.59,31250.0,7.0,300.2533,0.0
2025-03-29 08:27:18.964,75000,2,8,162.71,460.9338,12.13,12.29,17.26,12.52,921839.41,37500.0,3.0,460.9197,0.0
2025-03-29 01:49:53.743,12500,3,8,2532.33,4.9348,1.07,1.18,1.76,1.21,14800.92,4166.6667,2.05,4.9336,0.0
2025-03-29 01:50:19.328,25000,3,8,979.21,25.5293,2.61,3.06,6.49,3.07,76580.37,8333.3333,3.3,25.5268,0.0
2025-03-29 01:51:26.116,37500,3,8,561.81,66.7471,5.22,5.34,7.99,5.37,200226.46,12500.0,2.83,66.7422,0.0
2025-03-29 01:53:37.816,50000,3,8,379.76,131.6592,7.75,7.9,10.57,7.98,394956.19,16666.6667,5.73,131.6521,0.0
2025-03-29 01:57:21.852,62500,3,8,279.13,223.9097,10.54,10.75,14.22,10.84,671699.01,20833.3333,10.5,223.8997,0.0
2025-03-29 02:03:08.698,75000,3,8,216.28,346.771,11.53,13.87,40.32,13.95,1040282.55,25000.0,4.32,346.7609,0.0
2025-03-29 03:29:17.177,12500,3,8,2538.25,4.9232,1.07,1.18,1.71,1.21,14766.23,4166.6667,4.78,4.9221,0.0
2025-03-29 03:29:42.646,25000,3,8,983.27,25.424,2.99,3.05,4.05,3.07,76262.1,8333.3333,4.64,25.4207,0.0
2025-03-29 03:30:49.519,37500,3,8,561.48,66.7869,5.22,5.34,7.24,5.37,200347.74,12500.0,1.41,66.7826,0.0
2025-03-29 03:33:01.773,50000,3,8,378.21,132.2018,6.76,7.93,14.51,7.98,396584.02,16666.6667,0.47,132.1947,0.0
2025-03-29 03:36:46.772,62500,3,8,277.88,224.9195,10.54,10.8,14.69,10.84,674730.55,20833.3333,1.7,224.9102,0.0
2025-03-29 03:42:33.912,75000,3,8,216.08,347.0872,11.55,13.88,29.72,13.95,1041236.64,25000.0,0.82,347.0789,0.0
