load,threads,events_seconds_mean,events_seconds_std,events_seconds_ci_lower,events_seconds_ci_upper,latency_min_mean,latency_min_std,latency_min_ci_lower,latency_min_ci_upper,latency_avg_mean,latency_avg_std,latency_avg_ci_lower,latency_avg_ci_upper,latency_max_mean,latency_max_std,latency_max_ci_lower,latency_max_ci_upper,latency_95th_mean,latency_95th_std,latency_95th_ci_lower,latency_95th_ci_upper
12500,1,1040.078,9.0267965524875,1028.8697517016665,1051.2862482983335,0.932,0.009797958971132666,0.919834227089667,0.9441657729103331,0.96,0.008944271909999166,0.9488942195792087,0.9711057804207912,2.232,0.7177576192559714,1.3407862047334143,3.123213795266586,1.0059999999999998,0.008000000000000007,0.9960666880143696,1.01593331198563
25000,1,406.338,1.72974448980189,404.19023854092165,408.4857614590784,2.386,0.028,2.3512334080502946,2.4207665919497057,2.46,0.010954451150103251,2.446398252386835,2.473601747613165,3.8340000000000005,0.8654848352224319,2.759358639112988,4.908641360887013,2.57,0.0,2.57,2.57
37500,1,232.398,2.6486328548894784,229.10928793962407,235.68671206037592,4.144,0.0332264954516723,4.102743856811178,4.185256143188822,4.304,0.04715930449020647,4.2454439894341816,4.362556010565819,7.545999999999999,2.7487349817688864,4.132994732534287,10.959005267465713,4.49,0.0,4.49,4.49
50000,1,156.05200000000002,0.922245086731287,154.90688147828547,157.19711852171457,6.152,0.05912698199637774,6.078584155132655,6.225415844867345,6.409999999999999,0.03794733192202087,6.362882164124537,6.4571178358754615,8.815999999999999,1.2285536211334043,7.29054919877578,10.341450801224218,6.67,0.0,6.67,6.67
62500,1,114.98600000000002,0.3709231726382161,114.52543805043562,115.44656194956441,8.33,0.0,8.33,8.33,8.696000000000002,0.026532998322843275,8.663054931218126,8.728945068781877,11.8,0.5881156348882417,11.06975798937852,12.530242010621482,9.06,0.0,9.06,9.06
75000,1,89.09,0.31496031496047605,88.69892511605066,89.48107488394935,10.71,0.0,10.71,10.71,11.223999999999998,0.03929376540877674,11.175210346138055,11.272789653861942,14.585999999999999,0.7649732021450161,13.63616031530588,15.535839684694118,11.65,0.0,11.65,11.65
12500,2,2015.172,19.382539978031765,1991.1053979155326,2039.2386020844674,0.9640000000000001,0.008000000000000007,0.9540666880143699,0.9739333119856303,0.992,0.011661903789690611,0.9775198339138251,1.0064801660861749,1.498,0.08930845424706442,1.3871089076261918,1.6088910923738082,1.01,0.0,1.01,1.01
25000,2,739.2819999999999,2.8032723734949396,735.801277616672,742.7627223833279,2.5159999999999996,0.029393876913398165,2.4795026812690004,2.5524973187309987,2.7060000000000004,0.010198039027185614,2.693337462087667,2.718662537912334,3.918,0.7919696963899567,2.9346397403242235,4.901360259675777,2.76,0.0,2.76,2.76
37500,2,419.142,0.633668683146022,418.35519640934837,419.9288035906516,4.67,0.0,4.67,4.67,4.774,0.00800000000000023,4.76406668801437,4.78393331198563,6.614,0.4776860893934424,6.020874380357416,7.207125619642584,4.82,0.0,4.82,4.82
50000,2,283.63199999999995,0.6835320036399049,282.7832829194602,284.4807170805397,6.93,0.0,6.93,6.93,7.05,0.018973665961010525,7.026441082062269,7.0735589179377305,11.309999999999999,3.2447311136672017,7.281134192307822,15.338865807692176,7.17,0.0,7.17,7.17
