ID,Timestamp,%CPU (global),Capacidad de memoria utilizada,% Memoria utilizada
0,2025-03-15 14:13:19,27.1,5418596,33.8652
1,2025-03-15 14:13:20,25.9,5418828,33.8666
2,2025-03-15 14:13:22,26.2,5418576,33.8650
3,2025-03-15 14:13:23,26.2,5418096,33.8620
4,2025-03-15 14:13:24,26.7,5411416,33.8203
5,2025-03-15 14:13:25,27.9,5405120,33.7809
6,2025-03-15 14:13:26,25.9,5395268,33.7194
7,2025-03-15 14:13:28,26.2,5391304,33.6946
8,2025-03-15 14:13:29,25.3,5387616,33.6715
9,2025-03-15 14:13:30,25.9,5387632,33.6716
10,2025-03-15 14:13:31,25.9,5409504,33.8083
11,2025-03-15 14:13:33,25.6,5392644,33.7030
12,2025-03-15 14:13:34,25.9,5393364,33.7075
13,2025-03-15 14:13:35,25,5394924,33.7172
14,2025-03-15 14:13:36,25.3,5395128,33.7185
15,2025-03-15 14:13:37,27.1,5395296,33.7195
16,2025-03-15 14:13:39,25,5387856,33.6730
17,2025-03-15 14:13:40,25.9,5389080,33.6807
18,2025-03-15 14:13:41,26.7,5396204,33.7252
19,2025-03-15 14:13:42,27.7,5396752,33.7286
20,2025-03-15 14:13:44,25,5397004,33.7302
21,2025-03-15 14:13:45,26.7,5399260,33.7443
22,2025-03-15 14:13:46,26.2,5402064,33.7618
23,2025-03-15 14:13:47,26.7,5402576,33.7650
24,2025-03-15 14:13:49,27.1,5403024,33.7678
25,2025-03-15 14:13:50,25.9,5403000,33.7677
26,2025-03-15 14:13:51,26.7,5403264,33.7693
27,2025-03-15 14:13:52,25.9,5403504,33.7708
28,2025-03-15 14:13:53,25.3,5403500,33.7708
29,2025-03-15 14:13:55,31,5402480,33.7644
30,2025-03-15 14:13:56,25.9,5403488,33.7707
31,2025-03-15 14:13:57,25.3,5402936,33.7673
32,2025-03-15 14:13:58,26.2,5403188,33.7689
33,2025-03-15 14:14:00,25,5403436,33.7704
34,2025-03-15 14:14:01,25.9,5403416,33.7703
35,2025-03-15 14:14:02,26.7,5403404,33.7702
36,2025-03-15 14:14:03,26.2,5403404,33.7702
37,2025-03-15 14:14:04,27.1,5403656,33.7718
38,2025-03-15 14:14:06,43.2,5403652,33.7718
39,2025-03-15 14:14:07,26.2,5405920,33.7859
40,2025-03-15 14:14:08,26.7,5406172,33.7875
41,2025-03-15 14:14:09,26.2,5405620,33.7841
42,2025-03-15 14:14:11,29.8,5405840,33.7854
43,2025-03-15 14:14:12,26.2,5405840,33.7854
44,2025-03-15 14:14:13,25.3,5406352,33.7886
45,2025-03-15 14:14:14,26.7,5390884,33.6920
46,2025-03-15 14:14:16,27.1,5374876,33.5919
47,2025-03-15 14:14:17,25.9,5374868,33.5919
48,2025-03-15 14:14:18,26.2,5378060,33.6118
49,2025-03-15 14:14:19,26.2,5378048,33.6117
50,2025-03-15 14:14:20,28.6,5378552,33.6149
51,2025-03-15 14:14:22,26.7,5374232,33.5879
52,2025-03-15 14:14:23,27.1,5374728,33.5910
53,2025-03-15 14:14:24,25.9,5374980,33.5926
54,2025-03-15 14:14:25,25,5375188,33.5939
55,2025-03-15 14:14:27,26.2,5373144,33.5811
56,2025-03-15 14:14:28,25,5373384,33.5826
57,2025-03-15 14:14:29,25.9,5373644,33.5842
58,2025-03-15 14:14:30,25.9,5374128,33.5872
59,2025-03-15 14:14:31,25.3,5374380,33.5888
60,2025-03-15 14:14:33,25.9,5374632,33.5904
61,2025-03-15 14:14:34,25.9,5374620,33.5903
62,2025-03-15 14:14:35,25,5374872,33.5919
63,2025-03-15 14:14:36,25.9,5374620,33.5903
64,2025-03-15 14:14:38,26.2,5375120,33.5934
65,2025-03-15 14:14:39,25,5375464,33.5956
66,2025-03-15 14:14:40,26.7,5365484,33.5332
67,2025-03-15 14:14:41,25.9,5385212,33.6565
68,2025-03-15 14:14:43,26.2,5386216,33.6628
69,2025-03-15 14:14:44,25,5386704,33.6658
70,2025-03-15 14:14:45,25.9,5386696,33.6658
71,2025-03-15 14:14:46,26.7,5386920,33.6672
72,2025-03-15 14:14:47,26.2,5386920,33.6672
73,2025-03-15 14:14:49,26.7,5386920,33.6672
74,2025-03-15 14:14:50,25,5387740,33.6723
75,2025-03-15 14:14:51,25,5387732,33.6723
76,2025-03-15 14:14:52,25.9,5388484,33.6770
77,2025-03-15 14:14:54,25.9,5388988,33.6801
78,2025-03-15 14:14:55,25.9,5390004,33.6865
79,2025-03-15 14:14:56,26.7,5391272,33.6944
80,2025-03-15 14:14:57,27.1,5392752,33.7036
81,2025-03-15 14:14:58,25.9,5394000,33.7114
82,2025-03-15 14:15:00,25.9,5394488,33.7145
83,2025-03-15 14:15:01,25.9,5394676,33.7157
84,2025-03-15 14:15:02,26.2,5396680,33.7282
85,2025-03-15 14:15:03,25,5396932,33.7298
86,2025-03-15 14:15:05,26.7,5397500,33.7333
87,2025-03-15 14:15:06,43.4,5398004,33.7365
88,2025-03-15 14:15:07,25,5398004,33.7365
89,2025-03-15 14:15:08,25,5397968,33.7362
90,2025-03-15 14:15:10,25.9,5397952,33.7361
91,2025-03-15 14:15:11,25,5397932,33.7360
92,2025-03-15 14:15:12,25,5397676,33.7344
93,2025-03-15 14:15:13,25.3,5397160,33.7312
94,2025-03-15 14:15:14,25.9,5396404,33.7265
95,2025-03-15 14:15:16,27.1,5395888,33.7232
96,2025-03-15 14:15:17,25,5396248,33.7255
97,2025-03-15 14:15:18,25,5396736,33.7285
98,2025-03-15 14:15:19,25.3,5396500,33.7271
99,2025-03-15 14:15:21,26.2,5396500,33.7271
100,2025-03-15 14:15:22,32.9,5396776,33.7288
101,2025-03-15 14:15:23,25.3,5397376,33.7325
102,2025-03-15 14:15:24,25.9,5397096,33.7308
103,2025-03-15 14:15:25,27.1,5397620,33.7341
104,2025-03-15 14:15:27,25.9,5397868,33.7356
105,2025-03-15 14:15:28,27.1,5398872,33.7419
106,2025-03-15 14:15:29,25.9,5398332,33.7385
107,2025-03-15 14:15:30,26.2,5398852,33.7418
108,2025-03-15 14:15:32,25.9,5400108,33.7496
109,2025-03-15 14:15:33,25.9,5400296,33.7508
110,2025-03-15 14:15:34,26.7,5401040,33.7554
111,2025-03-15 14:15:35,26.7,5401412,33.7578
112,2025-03-15 14:15:37,25,5401604,33.7590
